URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
100097,203,1001,State-funded nursery,166,100,66,60.24,39.76,0,0.00,24,14.46,75,89,2,45.20,53.6,1.2,22
100098,203,1006,State-funded nursery,203,100,103,49.26,50.74,0,0.00,35,17.24,43,150,10,21.20,73.9,4.9,50
100099,203,1016,State-funded nursery,119,56,63,47.06,52.94,0,0.00,19,15.97,38,81,0,31.90,68.1,0,32
100102,203,1022,State-funded nursery,176,92,84,52.27,47.73,0,0.00,32,18.18,51,125,0,29.00,71,0,27
100103,203,1101,Pupil referral unit,144,56,88,38.89,61.11,63,43.75,78,54.17,7,137,0,4.90,95.1,0,36,89,124,71.77
100113,203,2028,State-funded primary,846,408,438,48.23,51.77,14,1.65,144,17.02,442,398,6,52.20,47,0.7,158,171,772,22.15
100114,203,2071,State-funded primary,410,204,206,49.76,50.24,7,1.71,85,20.73,235,150,25,57.30,36.6,6.1,148,161,384,41.93
100115,203,2106,State-funded primary,232,99,133,42.67,57.33,14,6.03,54,23.28,116,112,4,50.00,48.3,1.7,67,64,201,31.84
100120,203,2174,State-funded primary,404,182,222,45.05,54.95,2,0.50,61,15.10,131,271,2,32.40,67.1,0.5,155,160,365,43.84
100125,203,2228,State-funded primary,356,166,190,46.63,53.37,13,3.65,89,25.00,160,196,0,44.90,55.1,0,102,110,323,34.06
100126,203,2242,State-funded primary,279,152,127,54.48,45.52,5,1.79,45,16.13,141,138,0,50.50,49.5,0,89,91,255,35.69
100127,203,2258,State-funded primary,435,232,203,53.33,46.67,11,2.53,58,13.33,105,329,1,24.10,75.6,0.2,52,61,401,15.21
100129,203,2271,State-funded primary,355,176,179,49.58,50.42,7,1.97,72,20.28,112,243,0,31.50,68.5,0,130,132,324,40.74
100131,203,2299,State-funded primary,391,193,198,49.36,50.64,6,1.53,72,18.41,98,293,0,25.10,74.9,0,131,140,362,38.67
100134,203,2325,State-funded primary,769,373,396,48.50,51.50,14,1.82,97,12.61,219,548,2,28.50,71.3,0.3,182,177,715,24.76
100136,203,2353,State-funded primary,405,212,193,52.35,47.65,14,3.46,112,27.65,113,292,0,27.90,72.1,0,140,147,369,39.84
100137,203,2410,State-funded primary,224,115,109,51.34,48.66,3,1.34,48,21.43,99,124,1,44.20,55.4,0.4,36,38,205,18.54
100140,203,2471,State-funded primary,935,463,472,49.52,50.48,21,2.25,134,14.33,230,701,4,24.60,75,0.4,269,285,855,33.33
100141,203,2552,State-funded primary,460,216,244,46.96,53.04,4,0.87,44,9.57,129,322,9,28.00,70,2,65,75,406,18.47
100142,203,2598,State-funded primary,210,109,101,51.90,48.10,10,4.76,23,10.95,77,133,0,36.70,63.3,0,56,58,190,30.53
100146,203,2662,State-funded primary,430,213,217,49.53,50.47,15,3.49,52,12.09,73,357,0,17.00,83,0,86,94,396,23.74
100149,203,2798,State-funded primary,451,240,211,53.22,46.78,8,1.77,55,12.20,73,378,0,16.20,83.8,0,86,86,409,21.03
100150,203,2801,State-funded primary,432,204,228,47.22,52.78,16,3.70,123,28.47,126,306,0,29.20,70.8,0,153,150,382,39.27
100152,203,2813,State-funded primary,385,199,186,51.69,48.31,8,2.08,116,30.13,118,265,2,30.60,68.8,0.5,178,180,359,50.14
100155,203,2877,State-funded primary,456,222,234,48.68,51.32,6,1.32,86,18.86,306,150,0,67.10,32.9,0,166,158,397,39.80
100158,203,2900,State-funded primary,800,376,424,47.00,53.00,4,0.50,67,8.38,509,288,3,63.60,36,0.4,204,232,738,31.44
100159,203,2901,State-funded primary,365,151,214,41.37,58.63,4,1.10,59,16.16,115,250,0,31.50,68.5,0,153,156,340,45.88
100162,203,2915,State-funded primary,226,123,103,54.42,45.58,4,1.77,39,17.26,77,149,0,34.10,65.9,0,41,47,206,22.82
100163,203,2916,State-funded primary,393,200,193,50.89,49.11,4,1.02,58,14.76,168,225,0,42.70,57.3,0,104,117,346,33.82
100164,203,2917,State-funded primary,447,224,223,50.11,49.89,11,2.46,40,8.95,120,327,0,26.80,73.2,0,112,119,402,29.60
100165,203,3322,State-funded primary,181,102,79,56.35,43.65,2,1.10,23,12.71,56,124,1,30.90,68.5,0.6,74,81,181,44.75
100166,203,3331,State-funded primary,210,102,108,48.57,51.43,8,3.81,27,12.86,30,180,0,14.30,85.7,0,24,30,210,14.29
100167,203,3338,State-funded primary,458,222,236,48.47,51.53,8,1.75,93,20.31,91,367,0,19.90,80.1,0,41,47,421,11.16
100168,203,3382,State-funded primary,391,193,198,49.36,50.64,5,1.28,23,5.88,102,289,0,26.10,73.9,0,79,91,391,23.27
100169,203,3481,State-funded primary,179,93,86,51.96,48.04,2,1.12,35,19.55,71,108,0,39.70,60.3,0,77,89,179,49.72
100170,203,3500,State-funded primary,321,169,152,52.65,47.35,4,1.25,48,14.95,105,214,2,32.70,66.7,0.6,82,88,292,30.14
100171,203,3526,State-funded secondary,1660,789,871,47.53,52.47,24,1.45,307,18.49,911,740,9,54.90,44.6,0.5,611,683,1537,44.44
100173,203,3561,State-funded primary,340,164,176,48.24,51.76,2,0.59,34,10.00,147,193,0,43.20,56.8,0,81,86,306,28.10
100174,203,3577,State-funded primary,209,121,88,57.89,42.11,4,1.91,28,13.40,61,148,0,29.20,70.8,0,85,85,186,45.70
100175,203,3585,State-funded primary,203,89,114,43.84,56.16,2,0.99,23,11.33,25,176,2,12.30,86.7,1,46,50,203,24.63
100176,203,3604,State-funded primary,195,92,103,47.18,52.82,1,0.51,14,7.18,50,145,0,25.60,74.4,0,39,42,195,21.54
100177,203,3632,State-funded primary,413,216,197,52.30,47.70,8,1.94,42,10.17,119,294,0,28.80,71.2,0,102,113,376,30.05
100178,203,3657,State-funded primary,159,78,81,49.06,50.94,3,1.89,25,15.72,102,57,0,64.20,35.8,0,50,57,159,35.85
100179,203,3662,State-funded primary,185,81,104,43.78,56.22,2,1.08,22,11.89,51,134,0,27.60,72.4,0,60,66,185,35.68
100180,203,3666,State-funded primary,209,106,103,50.72,49.28,3,1.44,26,12.44,115,94,0,55.00,45,0,34,37,190,19.47
100181,203,3668,State-funded primary,208,112,96,53.85,46.15,7,3.37,15,7.21,36,171,1,17.30,82.2,0.5,44,54,186,29.03
100182,203,4077,State-funded secondary,1168,1125,43,96.32,3.68,12,1.03,156,13.36,260,904,4,22.30,77.4,0.3,236,268,943,28.42
100183,203,4130,State-funded secondary,1468,1014,454,69.07,30.93,40,2.72,236,16.08,843,625,0,57.40,42.6,0,396,474,1194,39.70
100190,203,4294,State-funded secondary,2083,1001,1082,48.06,51.94,112,5.38,343,16.47,381,1673,29,18.30,80.3,1.4,428,439,1345,32.64
100193,203,4682,State-funded secondary,634,634,0,100.00,0.00,6,0.95,55,8.68,103,515,16,16.20,81.2,2.5,95,163,634,25.71
100198,203,6065,Independent school,346,145,201,41.91,58.09,1,0.29,47,13.58,0,0,0,0.00,0,0,0
100199,203,6114,Independent school,384,197,187,51.30,48.70,0,0.00,17,4.43,0,0,0,0.00,0,0,0
100200,203,6169,Independent school,160,57,103,35.63,64.38,113,70.63,5,3.13,0,0,0,0.00,0,0,0
100201,203,6170,Independent school,212,102,110,48.11,51.89,2,0.94,54,25.47,0,0,0,0.00,0,0,0
100202,203,6293,Independent school,1251,556,695,44.44,55.56,6,0.48,147,11.75,0,0,0,0.00,0,0,0
100203,209,6294,Independent school,114,52,62,45.61,54.39,0,0.00,1,0.88,0,0,0,0.00,0,0,0
100204,203,7118,State-funded special school,36,0,36,0.00,100.00,36,100.00,0,0.00,1,35,0,2.80,97.2,0,23,29,36,80.56
100212,204,1008,State-funded nursery,94,38,56,40.43,59.57,0,0.00,3,3.19,42,52,0,44.70,55.3,0,8
100213,204,1051,State-funded nursery,119,56,63,47.06,52.94,3,2.52,22,18.49,67,52,0,56.30,43.7,0,48
100218,204,2048,State-funded primary,451,225,226,49.89,50.11,27,5.99,67,14.86,229,222,0,50.80,49.2,0,207,210,401,52.37
100221,204,2120,State-funded primary,156,79,77,50.64,49.36,11,7.05,27,17.31,51,103,2,32.70,66,1.3,48,47,144,32.64
100223,204,2150,State-funded primary,509,249,260,48.92,51.08,23,4.52,57,11.20,228,281,0,44.80,55.2,0,192,197,472,41.74
100224,204,2155,State-funded primary,147,88,59,59.86,40.14,12,8.16,31,21.09,72,75,0,49.00,51,0,95,94,135,69.63
100225,204,2238,State-funded primary,278,114,164,41.01,58.99,23,8.27,48,17.27,97,181,0,34.90,65.1,0,134,110,192,57.29
100229,204,2376,State-funded primary,398,170,228,42.71,57.29,4,1.01,42,10.55,73,325,0,18.30,81.7,0,110,105,360,29.17
100230,204,2388,State-funded primary,437,215,222,49.20,50.80,23,5.26,73,16.70,215,222,0,49.20,50.8,0,130,127,405,31.36
100231,204,2421,State-funded primary,658,322,336,48.94,51.06,35,5.32,65,9.88,135,523,0,20.50,79.5,0,155,155,607,25.54
100232,204,2431,State-funded primary,475,233,242,49.05,50.95,27,5.68,137,28.84,296,179,0,62.30,37.7,0,220,217,393,55.22
100234,204,2450,State-funded primary,654,326,328,49.85,50.15,19,2.91,107,16.36,317,336,1,48.50,51.4,0.2,319,309,595,51.93
100235,204,2487,State-funded primary,428,207,221,48.36,51.64,26,6.07,101,23.60,242,186,0,56.50,43.5,0,132,141,396,35.61
100236,204,2489,State-funded primary,324,158,166,48.77,51.23,19,5.86,60,18.52,249,75,0,76.90,23.1,0,119,124,293,42.32
100239,204,2532,State-funded primary,270,148,122,54.81,45.19,7,2.59,21,7.78,173,97,0,64.10,35.9,0,93,99,254,38.98
100240,204,2539,State-funded primary,423,203,220,47.99,52.01,14,3.31,38,8.98,237,186,0,56.00,44,0,177,182,388,46.91
100241,204,2545,State-funded primary,467,220,247,47.11,52.89,12,2.57,66,14.13,201,266,0,43.00,57,0,143,131,411,31.87
100242,204,2564,State-funded primary,376,185,191,49.20,50.80,8,2.13,77,20.48,209,167,0,55.60,44.4,0,150,151,346,43.64
100243,204,2592,State-funded primary,236,104,132,44.07,55.93,19,8.05,60,25.42,141,95,0,59.70,40.3,0,125,115,205,56.10
100244,204,2615,State-funded primary,306,156,150,50.98,49.02,28,9.15,70,22.88,150,156,0,49.00,51,0,136,143,289,49.48
100245,204,2636,State-funded primary,426,225,201,52.82,47.18,39,9.15,82,19.25,135,291,0,31.70,68.3,0,208,209,395,52.91
100248,204,2654,State-funded primary,663,341,322,51.43,48.57,25,3.77,64,9.65,399,264,0,60.20,39.8,0,305,298,576,51.74
100250,204,2779,State-funded primary,222,119,103,53.60,46.40,10,4.50,32,14.41,141,81,0,63.50,36.5,0,111,118,195,60.51
100251,204,2795,State-funded primary,278,124,154,44.60,55.40,18,6.47,52,18.71,156,122,0,56.10,43.9,0,111,108,259,41.70
100252,204,2856,State-funded primary,206,92,114,44.66,55.34,9,4.37,29,14.08,79,127,0,38.30,61.7,0,27,30,192,15.63
100253,204,2859,State-funded primary,426,209,217,49.06,50.94,21,4.93,35,8.22,162,263,1,38.00,61.7,0.2,88,93,395,23.54
100254,204,2860,State-funded primary,218,105,113,48.17,51.83,19,8.72,29,13.30,125,93,0,57.30,42.7,0,77,83,192,43.23
100255,204,2861,State-funded primary,204,97,107,47.55,52.45,9,4.41,31,15.20,85,119,0,41.70,58.3,0,84,91,187,48.66
100256,204,2862,State-funded primary,220,107,113,48.64,51.36,11,5.00,35,15.91,121,99,0,55.00,45,0,91,99,200,49.50
100257,204,2863,State-funded primary,223,99,124,44.39,55.61,12,5.38,27,12.11,164,58,1,73.50,26,0.4,76,75,196,38.27
100258,204,2864,State-funded primary,445,227,218,51.01,48.99,18,4.04,31,6.97,73,372,0,16.40,83.6,0,101,106,411,25.79
100259,204,2865,State-funded primary,196,97,99,49.49,50.51,7,3.57,23,11.73,106,90,0,54.10,45.9,0,64,60,175,34.29
100260,204,2872,State-funded primary,322,169,153,52.48,47.52,6,1.86,68,21.12,172,150,0,53.40,46.6,0,129,126,284,44.37
100261,204,2896,State-funded primary,251,118,133,47.01,52.99,10,3.98,36,14.34,155,96,0,61.80,38.2,0,148,136,214,63.55
100263,204,3358,State-funded primary,310,148,162,47.74,52.26,12,3.87,63,20.32,115,195,0,37.10,62.9,0,127,125,262,47.71
100264,204,3371,State-funded primary,199,101,98,50.75,49.25,4,2.01,23,11.56,53,146,0,26.60,73.4,0,46,53,199,26.63
100266,204,3458,State-funded primary,320,165,155,51.56,48.44,23,7.19,46,14.38,146,174,0,45.60,54.4,0,169,171,289,59.17
100267,204,3543,State-funded primary,183,93,90,50.82,49.18,4,2.19,32,17.49,76,107,0,41.50,58.5,0,112,106,168,63.10
100268,204,3553,State-funded primary,205,96,109,46.83,53.17,6,2.93,27,13.17,164,41,0,80.00,20,0,88,80,170,47.06
100269,204,3572,State-funded primary,193,106,87,54.92,45.08,7,3.63,50,25.91,50,143,0,25.90,74.1,0,111,108,168,64.29
100270,204,3616,State-funded primary,146,78,68,53.42,46.58,9,6.16,28,19.18,42,104,0,28.80,71.2,0,84,78,134,58.21
100271,204,3618,State-funded primary,164,86,78,52.44,47.56,6,3.66,18,10.98,60,104,0,36.60,63.4,0,82,82,150,54.67
100274,204,3659,State-funded primary,208,103,105,49.52,50.48,11,5.29,37,17.79,125,82,1,60.10,39.4,0.5,119,112,186,60.22
100275,204,3663,State-funded primary,109,55,54,50.46,49.54,6,5.50,29,26.61,51,58,0,46.80,53.2,0,29,30,99,30.30
100277,204,4283,State-funded secondary,1023,482,541,47.12,52.88,40,3.91,206,20.14,376,647,0,36.80,63.2,0,459,480,904,53.10
100279,204,4310,State-funded secondary,1693,770,923,45.48,54.52,86,5.08,262,15.48,391,1301,1,23.10,76.8,0.1,456,472,1268,37.22
100282,204,4641,State-funded secondary,658,649,9,98.63,1.37,10,1.52,25,3.80,348,310,0,52.90,47.1,0,256,277,532,52.07
100284,204,4697,State-funded secondary,900,379,521,42.11,57.89,31,3.44,248,27.56,357,543,0,39.70,60.3,0,610,559,779,71.76
100285,204,4714,State-funded secondary,1087,540,547,49.68,50.32,30,2.76,196,18.03,541,545,1,49.80,50.1,0.1,516,514,866,59.35
100287,204,6072,Independent school,193,0,193,0.00,100.00,4,2.07,25,12.95,0,0,0,0.00,0,0,0
100289,204,6233,Independent school,992,0,992,0.00,100.00,12,1.21,88,8.87,0,0,0,0.00,0,0,0
100291,204,6242,Independent school,804,791,13,98.38,1.62,14,1.74,57,7.09,0,0,0,0.00,0,0,0
100293,204,6296,Independent school,1311,1291,20,98.47,1.53,25,1.91,151,11.52,0,0,0,0.00,0,0,0
100294,204,6331,Independent school,705,0,705,0.00,100.00,16,2.27,40,5.67,0,0,0,0.00,0,0,0
100295,204,6337,Independent school,590,564,26,95.59,4.41,15,2.54,102,17.29,0,0,0,0.00,0,0,0
100296,204,6377,Independent school,263,0,263,0.00,100.00,10,3.80,45,17.11,0,0,0,0.00,0,0,0
100298,204,6385,Independent school,231,0,231,0.00,100.00,12,5.19,40,17.32,0,0,0,0.00,0,0,0
100299,204,6387,Independent school,157,0,157,0.00,100.00,6,3.82,28,17.83,0,0,0,0.00,0,0,0
100300,204,6388,Independent school,180,180,0,100.00,0.00,0,0.00,0,0.00,0,0,0,0.00,0,0,0
100303,211,6385,Independent school,201,112,89,55.72,44.28,3,1.49,20,9.95,0,0,0,0.00,0,0,0
100307,204,7097,State-funded special school,137,36,101,26.28,73.72,137,100.00,0,0.00,20,117,0,14.60,85.4,0,87,76,115,66.09
100311,204,7161,State-funded special school,158,28,130,17.72,82.28,156,98.73,2,1.27,69,89,0,43.70,56.3,0,94,100,150,66.67
100312,204,7171,State-funded special school,159,57,102,35.85,64.15,159,100.00,0,0.00,85,74,0,53.50,46.5,0,103,87,131,66.41
100315,205,1034,State-funded nursery,125,64,61,51.20,48.80,2,1.60,37,29.60,45,80,0,36.00,64,0,26
100316,205,1039,State-funded nursery,74,43,31,58.11,41.89,1,1.35,6,8.11,24,50,0,32.40,67.6,0,13,1,2,50.00
100317,205,1056,State-funded nursery,47,22,25,46.81,53.19,0,0.00,7,14.89,35,12,0,74.50,25.5,0,5
100318,205,1059,State-funded nursery,69,33,36,47.83,52.17,0,0.00,14,20.29,36,33,0,52.20,47.8,0,21
100321,205,2002,State-funded primary,266,129,137,48.50,51.50,6,2.26,25,9.40,170,96,0,63.90,36.1,0,114,118,245,48.16
100322,205,2026,State-funded primary,216,108,108,50.00,50.00,12,5.56,20,9.26,124,92,0,57.40,42.6,0,83,82,191,42.93
100324,205,2061,State-funded primary,371,183,188,49.33,50.67,14,3.77,33,8.89,195,176,0,52.60,47.4,0,132,145,348,41.67
100326,205,2134,State-funded primary,239,124,115,51.88,48.12,29,12.13,40,16.74,111,127,1,46.40,53.1,0.4,103,96,211,45.50
100328,205,2223,State-funded primary,200,106,94,53.00,47.00,3,1.50,40,20.00,128,71,1,64.00,35.5,0.5,87,83,167,49.70
100331,205,2350,State-funded primary,197,89,108,45.18,54.82,5,2.54,33,16.75,96,100,1,48.70,50.8,0.5,65,61,177,34.46
100334,205,2408,State-funded primary,207,86,121,41.55,58.45,9,4.35,17,8.21,137,70,0,66.20,33.8,0,86,97,207,46.86
100335,205,2444,State-funded primary,235,130,105,55.32,44.68,13,5.53,41,17.45,110,125,0,46.80,53.2,0,79,79,195,40.51
100338,205,2555,State-funded primary,294,139,155,47.28,52.72,13,4.42,52,17.69,113,181,0,38.40,61.6,0,168,152,256,59.38
100340,205,2632,State-funded primary,388,201,187,51.80,48.20,13,3.35,37,9.54,225,159,4,58.00,41,1,73,83,338,24.56
