"Year","Difference between predicted and achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","-2 points","White","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2015","-2 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","White","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","-2 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","-2 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-3 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","-3 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","-3 points","White","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2016","-3 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","-3 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","-3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-3 points","White","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2020","-3 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","-3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-4 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","-4 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-5 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-5 points","White","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2015","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","White","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","Less than -6 points","White","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2012","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","Less than -6 points","White","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2016","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","Less than -6 points","White","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2018","Less than -6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Less than -6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","0 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","0 points","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","0 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","0 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","0 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","-1 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-1 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","-2 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-3 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-4 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","-4 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","-4 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-5 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Less than -6 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","Less than -6 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Less than -6 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Less than -6 points","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Less than -6 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","Other","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","White","Main scheme applicant","Main scheme application","430","400","0.935","0"
"2011","0 points","White","Main scheme applicant","Main scheme application","460","430","0.933","0"
"2012","0 points","White","Main scheme applicant","Main scheme application","460","415","0.908","0"
"2013","0 points","White","Main scheme applicant","Main scheme application","540","500","0.926","0"
"2014","0 points","White","Main scheme applicant","Main scheme application","495","460","0.927","0"
"2015","0 points","White","Main scheme applicant","Main scheme application","535","495","0.92","0"
"2016","0 points","White","Main scheme applicant","Main scheme application","570","520","0.906","0"
"2017","0 points","White","Main scheme applicant","Main scheme application","570","530","0.935","0"
"2018","0 points","White","Main scheme applicant","Main scheme application","580","540","0.936","0"
"2019","0 points","White","Main scheme applicant","Main scheme application","545","520","0.9520000000000001","0"
"2020","0 points","White","Main scheme applicant","Main scheme application","840","770","0.917","0"
"2021","0 points","White","Main scheme applicant","Main scheme application","1035","970","0.9390000000000001","0"
"2022","0 points","White","Main scheme applicant","Main scheme application","680","635","0.935","0"
"2023","0 points","White","Main scheme applicant","Main scheme application","655","620","0.9450000000000001","0"
"2010","1 points","White","Main scheme applicant","Main scheme application","80","75","0.924","0"
"2011","1 points","White","Main scheme applicant","Main scheme application","75","70","0.896","0"
"2012","1 points","White","Main scheme applicant","Main scheme application","70","65","0.889","0"
"2013","1 points","White","Main scheme applicant","Main scheme application","85","80","0.9400000000000001","0"
"2014","1 points","White","Main scheme applicant","Main scheme application","65","60","0.923","0"
"2015","1 points","White","Main scheme applicant","Main scheme application","65","65","0.985","0"
"2016","1 points","White","Main scheme applicant","Main scheme application","85","80","0.9430000000000001","0"
"2017","1 points","White","Main scheme applicant","Main scheme application","55","45","0.852","0"
"2018","1 points","White","Main scheme applicant","Main scheme application","70","60","0.855","0"
"2019","1 points","White","Main scheme applicant","Main scheme application","65","60","0.9540000000000001","0"
"2020","1 points","White","Main scheme applicant","Main scheme application","115","100","0.877","0"
"2021","1 points","White","Main scheme applicant","Main scheme application","130","115","0.891","0"
"2022","1 points","White","Main scheme applicant","Main scheme application","60","60","0.967","0"
"2023","1 points","White","Main scheme applicant","Main scheme application","55","45","0.868","0"
"2010","2 points","White","Main scheme applicant","Main scheme application","35","30","0.9410000000000001","0"
"2011","2 points","White","Main scheme applicant","Main scheme application","25","20","0.88","0"
"2012","2 points","White","Main scheme applicant","Main scheme application","20","15","0.895","0"
"2013","2 points","White","Main scheme applicant","Main scheme application","30","25","0.897","0"
"2014","2 points","White","Main scheme applicant","Main scheme application","25","25","1","0"
"2015","2 points","White","Main scheme applicant","Main scheme application","25","20","0.87","0"
"2016","2 points","White","Main scheme applicant","Main scheme application","25","20","0.913","0"
"2017","2 points","White","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2018","2 points","White","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2019","2 points","White","Main scheme applicant","Main scheme application","20","15","0.833","0"
"2020","2 points","White","Main scheme applicant","Main scheme application","30","30","1","0"
"2021","2 points","White","Main scheme applicant","Main scheme application","30","25","0.833","0"
"2022","2 points","White","Main scheme applicant","Main scheme application","20","20","0.9520000000000001","0"
"2023","2 points","White","Main scheme applicant","Main scheme application","15","10","0.786","0"
"2010","3 points","White","Main scheme applicant","Main scheme application","5","0"," ","0"
"2011","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","3 points","White","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","3 points","White","Main scheme applicant","Main scheme application","10","10","1","0"
"2021","3 points","White","Main scheme applicant","Main scheme application","10","10"," ","0"
"2022","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","More than 3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","More than 3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","More than 3 points","White","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","-1 points","White","Main scheme applicant","Main scheme application","240","220","0.917","0"
"2011","-1 points","White","Main scheme applicant","Main scheme application","300","270","0.899","0"
"2012","-1 points","White","Main scheme applicant","Main scheme application","285","250","0.87","0"
"2013","-1 points","White","Main scheme applicant","Main scheme application","310","270","0.875","0"
"2014","-1 points","White","Main scheme applicant","Main scheme application","295","265","0.911","0"
"2015","-1 points","White","Main scheme applicant","Main scheme application","320","285","0.888","0"
"2016","-1 points","White","Main scheme applicant","Main scheme application","310","275","0.893","0"
"2017","-1 points","White","Main scheme applicant","Main scheme application","330","285","0.875","0"
"2018","-1 points","White","Main scheme applicant","Main scheme application","320","285","0.894","0"
"2019","-1 points","White","Main scheme applicant","Main scheme application","280","255","0.904","0"
"2020","-1 points","White","Main scheme applicant","Main scheme application","285","255","0.908","0"
"2021","-1 points","White","Main scheme applicant","Main scheme application","330","295","0.896","0"
"2022","-1 points","White","Main scheme applicant","Main scheme application","350","320","0.914","0"
"2023","-1 points","White","Main scheme applicant","Main scheme application","350","330","0.9430000000000001","0"
"2010","-2 points","White","Main scheme applicant","Main scheme application","210","190","0.901","0"
"2011","-2 points","White","Main scheme applicant","Main scheme application","255","235","0.914","0"
"2012","-2 points","White","Main scheme applicant","Main scheme application","260","230","0.881","0"
"2013","-2 points","White","Main scheme applicant","Main scheme application","275","250","0.913","0"
"2014","-2 points","White","Main scheme applicant","Main scheme application","260","220","0.86","0"
"2015","-2 points","White","Main scheme applicant","Main scheme application","285","260","0.906","0"
"2016","-2 points","White","Main scheme applicant","Main scheme application","260","235","0.911","0"
"2017","-2 points","White","Main scheme applicant","Main scheme application","255","235","0.925","0"
"2018","-2 points","White","Main scheme applicant","Main scheme application","260","240","0.923","0"
"2019","-2 points","White","Main scheme applicant","Main scheme application","240","215","0.912","0"
"2020","-2 points","White","Main scheme applicant","Main scheme application","205","185","0.893","0"
"2021","-2 points","White","Main scheme applicant","Main scheme application","195","180","0.918","0"
"2022","-2 points","White","Main scheme applicant","Main scheme application","270","235","0.871","0"
"2023","-2 points","White","Main scheme applicant","Main scheme application","330","305","0.927","0"
"2010","-3 points","White","Main scheme applicant","Main scheme application","215","180","0.85","0"
"2011","-3 points","White","Main scheme applicant","Main scheme application","215","195","0.899","0"
"2012","-3 points","White","Main scheme applicant","Main scheme application","175","155","0.902","0"
"2013","-3 points","White","Main scheme applicant","Main scheme application","200","185","0.906","0"
"2014","-3 points","White","Main scheme applicant","Main scheme application","240","220","0.908","0"
"2015","-3 points","White","Main scheme applicant","Main scheme application","220","185","0.841","0"
"2016","-3 points","White","Main scheme applicant","Main scheme application","195","170","0.87","0"
"2017","-3 points","White","Main scheme applicant","Main scheme application","220","190","0.863","0"
"2018","-3 points","White","Main scheme applicant","Main scheme application","205","180","0.879","0"
"2019","-3 points","White","Main scheme applicant","Main scheme application","195","175","0.892","0"
"2020","-3 points","White","Main scheme applicant","Main scheme application","130","110","0.855","0"
"2021","-3 points","White","Main scheme applicant","Main scheme application","125","110","0.857","0"
"2022","-3 points","White","Main scheme applicant","Main scheme application","230","195","0.857","0"
"2023","-3 points","White","Main scheme applicant","Main scheme application","230","205","0.887","0"
"2010","-4 points","White","Main scheme applicant","Main scheme application","185","165","0.891","0"
"2011","-4 points","White","Main scheme applicant","Main scheme application","195","170","0.873","0"
"2012","-4 points","White","Main scheme applicant","Main scheme application","190","165","0.868","0"
"2013","-4 points","White","Main scheme applicant","Main scheme application","165","150","0.898","0"
"2014","-4 points","White","Main scheme applicant","Main scheme application","190","165","0.878","0"
"2015","-4 points","White","Main scheme applicant","Main scheme application","185","165","0.882","0"
"2016","-4 points","White","Main scheme applicant","Main scheme application","185","160","0.88","0"
"2017","-4 points","White","Main scheme applicant","Main scheme application","150","140","0.914","0"
"2018","-4 points","White","Main scheme applicant","Main scheme application","185","165","0.881","0"
"2019","-4 points","White","Main scheme applicant","Main scheme application","175","150","0.879","0"
"2020","-4 points","White","Main scheme applicant","Main scheme application","100","85","0.848","0"
"2021","-4 points","White","Main scheme applicant","Main scheme application","105","95","0.933","0"
"2022","-4 points","White","Main scheme applicant","Main scheme application","185","165","0.902","0"
"2023","-4 points","White","Main scheme applicant","Main scheme application","215","195","0.92","0"
"2010","-5 points","White","Main scheme applicant","Main scheme application","130","115","0.883","0"
"2011","-5 points","White","Main scheme applicant","Main scheme application","110","100","0.883","0"
"2012","-5 points","White","Main scheme applicant","Main scheme application","130","100","0.771","0"
"2013","-5 points","White","Main scheme applicant","Main scheme application","160","140","0.863","0"
"2014","-5 points","White","Main scheme applicant","Main scheme application","130","105","0.795","0"
"2015","-5 points","White","Main scheme applicant","Main scheme application","145","125","0.875","0"
"2016","-5 points","White","Main scheme applicant","Main scheme application","125","110","0.902","0"
"2017","-5 points","White","Main scheme applicant","Main scheme application","125","115","0.911","0"
"2018","-5 points","White","Main scheme applicant","Main scheme application","145","125","0.875","0"
"2019","-5 points","White","Main scheme applicant","Main scheme application","145","125","0.868","0"
"2020","-5 points","White","Main scheme applicant","Main scheme application","60","50","0.845","0"
"2021","-5 points","White","Main scheme applicant","Main scheme application","80","70","0.863","0"
"2022","-5 points","White","Main scheme applicant","Main scheme application","145","130","0.878","0"
"2023","-5 points","White","Main scheme applicant","Main scheme application","155","140","0.91","0"
"2010","-6 points","White","Main scheme applicant","Main scheme application","95","80","0.839","0"
"2011","-6 points","White","Main scheme applicant","Main scheme application","105","85","0.835","0"
"2012","-6 points","White","Main scheme applicant","Main scheme application","115","100","0.868","0"
"2013","-6 points","White","Main scheme applicant","Main scheme application","90","75","0.865","0"
"2014","-6 points","White","Main scheme applicant","Main scheme application","95","75","0.8280000000000001","0"
"2015","-6 points","White","Main scheme applicant","Main scheme application","95","80","0.833","0"
"2016","-6 points","White","Main scheme applicant","Main scheme application","100","80","0.837","0"
"2017","-6 points","White","Main scheme applicant","Main scheme application","85","75","0.871","0"
"2018","-6 points","White","Main scheme applicant","Main scheme application","90","80","0.886","0"
"2019","-6 points","White","Main scheme applicant","Main scheme application","85","70","0.8","0"
"2020","-6 points","White","Main scheme applicant","Main scheme application","40","35","0.878","0"
"2021","-6 points","White","Main scheme applicant","Main scheme application","55","45","0.8300000000000001","0"
"2022","-6 points","White","Main scheme applicant","Main scheme application","95","80","0.8300000000000001","0"
"2023","-6 points","White","Main scheme applicant","Main scheme application","90","85","0.924","0"
"2010","Less than -6 points","White","Main scheme applicant","Main scheme application","200","175","0.861","0"
"2011","Less than -6 points","White","Main scheme applicant","Main scheme application","165","140","0.8260000000000001","0"
"2012","Less than -6 points","White","Main scheme applicant","Main scheme application","175","145","0.8140000000000001","0"
"2013","Less than -6 points","White","Main scheme applicant","Main scheme application","200","170","0.86","0"
"2014","Less than -6 points","White","Main scheme applicant","Main scheme application","205","175","0.852","0"
"2015","Less than -6 points","White","Main scheme applicant","Main scheme application","190","150","0.799","0"
"2016","Less than -6 points","White","Main scheme applicant","Main scheme application","180","150","0.838","0"
"2017","Less than -6 points","White","Main scheme applicant","Main scheme application","195","160","0.802","0"
"2018","Less than -6 points","White","Main scheme applicant","Main scheme application","190","165","0.874","0"
"2019","Less than -6 points","White","Main scheme applicant","Main scheme application","180","145","0.804","0"
"2020","Less than -6 points","White","Main scheme applicant","Main scheme application","65","55","0.841","0"
"2021","Less than -6 points","White","Main scheme applicant","Main scheme application","135","115","0.854","0"
"2022","Less than -6 points","White","Main scheme applicant","Main scheme application","170","150","0.877","0"
"2023","Less than -6 points","White","Main scheme applicant","Main scheme application","155","145","0.911","0"
"2012","0 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","0 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","0 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","0 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","0 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","0 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","0 points","Black","Main scheme applicant","Main scheme application","15","15","0.933","0"
"2021","0 points","Black","Main scheme applicant","Main scheme application","20","20","0.9470000000000001","0"
"2022","0 points","Black","Main scheme applicant","Main scheme application","10","10","1","0"
"2023","0 points","Black","Main scheme applicant","Main scheme application","15","15","1","0"
"2018","1 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","1 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","-1 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","-1 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2013","-1 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","-1 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","-1 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","-1 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","-1 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","-1 points","Black","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2021","-1 points","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","-1 points","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","-1 points","Black","Main scheme applicant","Main scheme application","15","15","0.933","0"
"2019","-2 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","-2 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","-2 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","-2 points","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","-2 points","Black","Main scheme applicant","Main scheme application","10","10","0.909","0"
"2016","-3 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","-3 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","-3 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","-3 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","-3 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","-3 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","-3 points","Black","Main scheme applicant","Main scheme application","10","10"," ","0"
"2015","-4 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","-4 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","-4 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","-4 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","-4 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","-4 points","Black","Main scheme applicant","Main scheme application","15","15","0.9380000000000001","0"
"2019","-5 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","-5 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","-6 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","-6 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","Less than -6 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","Less than -6 points","Black","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","Less than -6 points","Black","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","Less than -6 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","Less than -6 points","Black","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","0 points","Asian","Main scheme applicant","Main scheme application","30","25","0.8280000000000001","0"
"2011","0 points","Asian","Main scheme applicant","Main scheme application","30","25","0.862","0"
"2012","0 points","Asian","Main scheme applicant","Main scheme application","25","20","0.846","0"
"2013","0 points","Asian","Main scheme applicant","Main scheme application","35","25","0.676","0"
"2014","0 points","Asian","Main scheme applicant","Main scheme application","40","35","0.923","0"
"2015","0 points","Asian","Main scheme applicant","Main scheme application","50","45","0.918","0"
"2016","0 points","Asian","Main scheme applicant","Main scheme application","70","65","0.913","0"
"2017","0 points","Asian","Main scheme applicant","Main scheme application","50","40","0.854","0"
"2018","0 points","Asian","Main scheme applicant","Main scheme application","55","50","0.893","0"
"2019","0 points","Asian","Main scheme applicant","Main scheme application","70","65","0.9410000000000001","0"
"2020","0 points","Asian","Main scheme applicant","Main scheme application","125","110","0.85","0"
