"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","20","England","Female","7155","2975","0.41600000000000004"
"2022","20","England","Female","6630","2410","0.364"
"2023","20","England","Female","6200","2415","0.39"
"2019","21 - 24","England","Female","11865","4610","0.388"
"2020","21 - 24","England","Female","13185","5765","0.437"
"2021","21 - 24","England","Female","15675","6745","0.43"
"2022","21 - 24","England","Female","13270","5050","0.38"
"2023","21 - 24","England","Female","10245","3970","0.388"
"2019","25 - 29","England","Female","9065","3630","0.401"
"2020","25 - 29","England","Female","10525","4765","0.453"
"2021","25 - 29","England","Female","13850","6090","0.44"
"2022","25 - 29","England","Female","10190","4240","0.41600000000000004"
"2023","25 - 29","England","Female","7660","3110","0.406"
"2019","30 - 34","England","Female","6350","2605","0.41100000000000003"
"2020","30 - 34","England","Female","8215","3660","0.446"
"2021","30 - 34","England","Female","10435","4545","0.436"
"2022","30 - 34","England","Female","9235","3825","0.41400000000000003"
"2023","30 - 34","England","Female","6745","2685","0.398"
"2019","35 and over","England","Female","15035","5225","0.34700000000000003"
"2020","35 and over","England","Female","21150","8360","0.395"
"2021","35 and over","England","Female","24950","9145","0.367"
"2022","35 and over","England","Female","23685","8055","0.34"
"2023","35 and over","England","Female","21290","7580","0.356"
"2019","17 and under","Scotland","Female","140","60","0.41400000000000003"
"2020","17 and under","Scotland","Female","155","60","0.381"
"2021","17 and under","Scotland","Female","210","60","0.276"
"2022","17 and under","Scotland","Female","225","105","0.458"
"2023","17 and under","Scotland","Female","155","80","0.523"
"2019","18","Scotland","Female","3960","1785","0.45"
"2020","18","Scotland","Female","3690","1660","0.45"
"2021","18","Scotland","Female","4485","1890","0.421"
"2022","18","Scotland","Female","4325","1865","0.431"
"2023","18","Scotland","Female","3145","1740","0.553"
"2019","19","Scotland","Female","1715","735","0.43"
"2020","19","Scotland","Female","1750","730","0.418"
"2021","19","Scotland","Female","1835","730","0.397"
"2022","19","Scotland","Female","1590","615","0.387"
"2023","19","Scotland","Female","1455","720","0.496"
"2019","20","Scotland","Female","970","330","0.339"
"2020","20","Scotland","Female","990","370","0.374"
"2021","20","Scotland","Female","1105","430","0.39"
"2022","20","Scotland","Female","970","385","0.399"
"2023","20","Scotland","Female","740","315","0.427"
"2019","21 - 24","Scotland","Female","2365","865","0.365"
"2020","21 - 24","Scotland","Female","2595","970","0.373"
"2021","21 - 24","Scotland","Female","2910","1030","0.355"
"2022","21 - 24","Scotland","Female","2590","990","0.381"
"2023","21 - 24","Scotland","Female","2095","950","0.454"
"2019","25 - 29","Scotland","Female","1895","765","0.403"
"2020","25 - 29","Scotland","Female","2365","955","0.404"
"2021","25 - 29","Scotland","Female","2915","1110","0.381"
"2022","25 - 29","Scotland","Female","2300","970","0.422"
"2023","25 - 29","Scotland","Female","1685","795","0.47200000000000003"
"2019","30 - 34","Scotland","Female","1310","525","0.4"
"2020","30 - 34","Scotland","Female","1455","575","0.395"
"2021","30 - 34","Scotland","Female","2000","770","0.385"
"2022","30 - 34","Scotland","Female","1815","735","0.406"
"2023","30 - 34","Scotland","Female","1200","615","0.512"
"2019","35 and over","Scotland","Female","2110","795","0.378"
"2020","35 and over","Scotland","Female","2625","1020","0.388"
"2021","35 and over","Scotland","Female","2890","1120","0.388"
"2022","35 and over","Scotland","Female","2710","1140","0.421"
"2023","35 and over","Scotland","Female","2385","1135","0.47500000000000003"
"2023","17 and under","Wales","Female","5","0"," "
"2019","18","Wales","Female","1880","770","0.40900000000000003"
"2020","18","Wales","Female","2115","870","0.41000000000000003"
"2021","18","Wales","Female","2435","1005","0.41400000000000003"
"2022","18","Wales","Female","2320","940","0.405"
"2023","18","Wales","Female","1645","830","0.505"
"2019","19","Wales","Female","1145","470","0.41000000000000003"
"2020","19","Wales","Female","910","370","0.40800000000000003"
"2021","19","Wales","Female","960","390","0.40800000000000003"
"2022","19","Wales","Female","855","345","0.402"
"2023","19","Wales","Female","580","255","0.443"
"2019","20","Wales","Female","490","175","0.357"
"2020","20","Wales","Female","445","175","0.393"
"2021","20","Wales","Female","585","210","0.361"
"2022","20","Wales","Female","380","160","0.418"
"2023","20","Wales","Female","330","130","0.4"
"2019","21 - 24","Wales","Female","1020","430","0.424"
"2020","21 - 24","Wales","Female","1130","455","0.404"
"2021","21 - 24","Wales","Female","1185","495","0.41600000000000004"
"2022","21 - 24","Wales","Female","855","330","0.384"
"2023","21 - 24","Wales","Female","590","220","0.376"
"2019","25 - 29","Wales","Female","870","395","0.456"
"2020","25 - 29","Wales","Female","980","460","0.47000000000000003"
"2021","25 - 29","Wales","Female","985","440","0.448"
"2022","25 - 29","Wales","Female","830","385","0.463"
"2023","25 - 29","Wales","Female","455","195","0.424"
"2019","30 - 34","Wales","Female","515","260","0.501"
"2020","30 - 34","Wales","Female","600","280","0.468"
"2021","30 - 34","Wales","Female","670","295","0.443"
"2022","30 - 34","Wales","Female","560","235","0.421"
"2023","30 - 34","Wales","Female","395","195","0.494"
"2019","35 and over","Wales","Female","725","315","0.436"
"2020","35 and over","Wales","Female","740","325","0.438"
"2021","35 and over","Wales","Female","875","405","0.461"
"2022","35 and over","Wales","Female","760","345","0.457"
"2023","35 and over","Wales","Female","600","275","0.457"
"2019","17 and under","Not EU","Female","60","10","0.167"
"2020","17 and under","Not EU","Female","125","30","0.24"
"2021","17 and under","Not EU","Female","200","45","0.22"
"2022","17 and under","Not EU","Female","385","55","0.14"
"2023","17 and under","Not EU","Female","360","40","0.108"
"2019","18","Not EU","Female","350","125","0.357"
"2020","18","Not EU","Female","425","155","0.36"
"2021","18","Not EU","Female","720","155","0.215"
"2022","18","Not EU","Female","1040","200","0.192"
"2023","18","Not EU","Female","940","225","0.24"
"2019","19","Not EU","Female","245","65","0.269"
"2020","19","Not EU","Female","320","95","0.291"
"2021","19","Not EU","Female","525","90","0.17500000000000002"
"2022","19","Not EU","Female","1210","185","0.151"
"2023","19","Not EU","Female","955","205","0.214"
"2019","20","Not EU","Female","165","45","0.28500000000000003"
"2020","20","Not EU","Female","205","45","0.229"
"2021","20","Not EU","Female","365","75","0.2"
"2022","20","Not EU","Female","540","90","0.165"
"2023","20","Not EU","Female","655","90","0.136"
"2019","21 - 24","Not EU","Female","390","80","0.2"
"2020","21 - 24","Not EU","Female","530","120","0.226"
"2021","21 - 24","Not EU","Female","820","155","0.189"
"2022","21 - 24","Not EU","Female","1125","155","0.137"
"2023","21 - 24","Not EU","Female","1340","220","0.164"
"2019","25 - 29","Not EU","Female","375","75","0.2"
"2020","25 - 29","Not EU","Female","590","140","0.23700000000000002"
"2021","25 - 29","Not EU","Female","1025","165","0.161"
"2022","25 - 29","Not EU","Female","1705","275","0.162"
"2023","25 - 29","Not EU","Female","1795","300","0.167"
"2019","30 - 34","Not EU","Female","240","50","0.217"
"2020","30 - 34","Not EU","Female","485","95","0.2"
"2021","30 - 34","Not EU","Female","840","130","0.155"
"2022","30 - 34","Not EU","Female","1315","180","0.138"
"2023","30 - 34","Not EU","Female","1270","180","0.14300000000000002"
"2019","35 and over","Not EU","Female","360","60","0.167"
"2020","35 and over","Not EU","Female","610","120","0.195"
"2021","35 and over","Not EU","Female","1085","165","0.154"
"2022","35 and over","Not EU","Female","1595","205","0.128"
"2023","35 and over","Not EU","Female","1280","160","0.123"
"2019","17 and under","EU (excluding UK)","Female","200","50","0.245"
"2020","17 and under","EU (excluding UK)","Female","160","50","0.306"
"2021","17 and under","EU (excluding UK)","Female","170","30","0.171"
"2022","17 and under","EU (excluding UK)","Female","165","40","0.23"
"2023","17 and under","EU (excluding UK)","Female","125","50","0.384"
"2019","18","EU (excluding UK)","Female","765","190","0.246"
"2020","18","EU (excluding UK)","Female","925","290","0.315"
"2021","18","EU (excluding UK)","Female","965","270","0.28"
"2022","18","EU (excluding UK)","Female","840","220","0.262"
"2023","18","EU (excluding UK)","Female","660","295","0.444"
"2019","19","EU (excluding UK)","Female","1120","360","0.32"
"2020","19","EU (excluding UK)","Female","1050","355","0.338"
"2021","19","EU (excluding UK)","Female","1115","335","0.301"
"2022","19","EU (excluding UK)","Female","740","215","0.293"
"2023","19","EU (excluding UK)","Female","610","225","0.37"
"2019","20","EU (excluding UK)","Female","595","175","0.291"
"2020","20","EU (excluding UK)","Female","570","175","0.309"
"2021","20","EU (excluding UK)","Female","565","170","0.303"
"2022","20","EU (excluding UK)","Female","450","120","0.269"
"2023","20","EU (excluding UK)","Female","315","95","0.308"
"2019","21 - 24","EU (excluding UK)","Female","570","155","0.274"
"2020","21 - 24","EU (excluding UK)","Female","550","160","0.289"
"2021","21 - 24","EU (excluding UK)","Female","675","200","0.293"
"2022","21 - 24","EU (excluding UK)","Female","410","90","0.224"
"2023","21 - 24","EU (excluding UK)","Female","420","135","0.319"
"2019","25 - 29","EU (excluding UK)","Female","105","35","0.324"
"2020","25 - 29","EU (excluding UK)","Female","200","55","0.265"
"2021","25 - 29","EU (excluding UK)","Female","170","30","0.188"
"2022","25 - 29","EU (excluding UK)","Female","115","35","0.28700000000000003"
"2023","25 - 29","EU (excluding UK)","Female","85","20","0.23500000000000001"
"2019","30 - 34","EU (excluding UK)","Female","60","10","0.167"
"2020","30 - 34","EU (excluding UK)","Female","70","20","0.3"
"2021","30 - 34","EU (excluding UK)","Female","60","15","0.25"
"2022","30 - 34","EU (excluding UK)","Female","45","5"," "
"2023","30 - 34","EU (excluding UK)","Female","35","10"," "
"2019","35 and over","EU (excluding UK)","Female","140","35","0.23600000000000002"
"2020","35 and over","EU (excluding UK)","Female","125","20","0.168"
"2021","35 and over","EU (excluding UK)","Female","105","20","0.21"
"2022","35 and over","EU (excluding UK)","Female","85","10"," "
"2023","35 and over","EU (excluding UK)","Female","85","20","0.259"
"2019","18","Northern Ireland","Male","175","45","0.257"
"2020","18","Northern Ireland","Male","150","30","0.213"
"2021","18","Northern Ireland","Male","240","75","0.304"
"2022","18","Northern Ireland","Male","190","60","0.321"
"2023","18","Northern Ireland","Male","155","60","0.387"
"2019","19","Northern Ireland","Male","90","30","0.34400000000000003"
"2020","19","Northern Ireland","Male","100","55","0.53"
"2021","19","Northern Ireland","Male","90","20","0.244"
"2022","19","Northern Ireland","Male","65","20","0.338"
"2023","19","Northern Ireland","Male","40","10","0.275"
"2019","20","Northern Ireland","Male","45","5"," "
"2020","20","Northern Ireland","Male","60","20","0.35000000000000003"
"2021","20","Northern Ireland","Male","60","15","0.233"
"2022","20","Northern Ireland","Male","65","10","0.185"
"2023","20","Northern Ireland","Male","55","15","0.255"
"2019","21 - 24","Northern Ireland","Male","115","35","0.304"
"2020","21 - 24","Northern Ireland","Male","110","35","0.336"
"2021","21 - 24","Northern Ireland","Male","135","35","0.259"
"2022","21 - 24","Northern Ireland","Male","110","35","0.327"
"2023","21 - 24","Northern Ireland","Male","115","40","0.339"
"2019","25 - 29","Northern Ireland","Male","80","20","0.25"
"2020","25 - 29","Northern Ireland","Male","45","15","0.378"
"2021","25 - 29","Northern Ireland","Male","60","20","0.3"
"2022","25 - 29","Northern Ireland","Male","40","5"," "
"2023","25 - 29","Northern Ireland","Male","55","25","0.47300000000000003"
"2019","30 - 34","Northern Ireland","Male","50","20","0.42"
"2020","30 - 34","Northern Ireland","Male","30","15","0.5"
"2021","30 - 34","Northern Ireland","Male","60","25","0.417"
"2022","30 - 34","Northern Ireland","Male","55","15","0.273"
"2023","30 - 34","Northern Ireland","Male","35","10","0.314"
"2019","35 and over","Northern Ireland","Male","50","15","0.34"
"2020","35 and over","Northern Ireland","Male","45","15","0.311"
"2021","35 and over","Northern Ireland","Male","50","5"," "
"2022","35 and over","Northern Ireland","Male","75","20","0.293"
"2023","35 and over","Northern Ireland","Male","40","10","0.25"
"2019","17 and under","England","Male","5","0"," "
"2020","17 and under","England","Male","5","0"," "
"2022","17 and under","England","Male","20","5"," "
"2023","17 and under","England","Male","20","5"," "
"2019","18","England","Male","990","500","0.503"
"2020","18","England","Male","955","485","0.51"
"2021","18","England","Male","1460","730","0.499"
"2022","18","England","Male","1925","940","0.488"
"2023","18","England","Male","1530","765","0.501"
"2019","19","England","Male","695","290","0.41400000000000003"
"2020","19","England","Male","695","315","0.45"
"2021","19","England","Male","775","340","0.441"
"2022","19","England","Male","880","325","0.37"
"2023","19","England","Male","780","315","0.404"
"2019","20","England","Male","525","220","0.421"
"2020","20","England","Male","515","190","0.365"
"2021","20","England","Male","650","240","0.369"
"2022","20","England","Male","685","220","0.323"
"2023","20","England","Male","655","265","0.406"
"2019","21 - 24","England","Male","1455","535","0.366"
"2020","21 - 24","England","Male","1315","510","0.389"
"2021","21 - 24","England","Male","1780","695","0.391"
"2022","21 - 24","England","Male","1765","575","0.326"
"2023","21 - 24","England","Male","1510","525","0.34800000000000003"
"2019","25 - 29","England","Male","1215","435","0.36"
"2020","25 - 29","England","Male","1550","655","0.424"
"2021","25 - 29","England","Male","1760","695","0.395"
"2022","25 - 29","England","Male","1750","555","0.318"
"2023","25 - 29","England","Male","1325","445","0.335"
"2019","30 - 34","England","Male","990","345","0.34600000000000003"
"2020","30 - 34","England","Male","1325","465","0.352"
"2021","30 - 34","England","Male","1645","560","0.341"
"2022","30 - 34","England","Male","1465","445","0.302"
"2023","30 - 34","England","Male","1395","430","0.307"
"2019","35 and over","England","Male","4610","1370","0.298"
"2020","35 and over","England","Male","6840","2200","0.322"
"2021","35 and over","England","Male","7770","2025","0.261"
"2022","35 and over","England","Male","8125","2045","0.252"
"2023","35 and over","England","Male","7755","2140","0.276"
"2019","17 and under","Scotland","Male","5","0"," "
"2020","17 and under","Scotland","Male","10","0"," "
"2021","17 and under","Scotland","Male","15","5"," "
"2023","17 and under","Scotland","Male","5","0"," "
"2019","18","Scotland","Male","220","100","0.464"
"2020","18","Scotland","Male","190","85","0.447"
"2021","18","Scotland","Male","245","95","0.396"
"2022","18","Scotland","Male","195","90","0.451"
"2023","18","Scotland","Male","185","120","0.654"
"2019","19","Scotland","Male","105","50","0.457"
"2020","19","Scotland","Male","100","40","0.41000000000000003"
"2021","19","Scotland","Male","125","55","0.44"
"2022","19","Scotland","Male","95","40","0.4"
"2023","19","Scotland","Male","105","60","0.562"
"2019","20","Scotland","Male","90","30","0.333"
"2020","20","Scotland","Male","100","45","0.45"
"2021","20","Scotland","Male","85","30","0.376"
"2022","20","Scotland","Male","100","45","0.45"
"2023","20","Scotland","Male","40","20","0.525"
"2019","21 - 24","Scotland","Male","255","95","0.365"
"2020","21 - 24","Scotland","Male","290","115","0.393"
"2021","21 - 24","Scotland","Male","320","105","0.334"
"2022","21 - 24","Scotland","Male","255","95","0.38"
"2023","21 - 24","Scotland","Male","225","100","0.449"
"2019","25 - 29","Scotland","Male","265","105","0.389"
"2020","25 - 29","Scotland","Male","330","105","0.315"
"2021","25 - 29","Scotland","Male","390","145","0.372"
"2022","25 - 29","Scotland","Male","335","130","0.388"
"2023","25 - 29","Scotland","Male","185","75","0.405"
"2019","30 - 34","Scotland","Male","185","60","0.324"
"2020","30 - 34","Scotland","Male","245","80","0.331"
"2021","30 - 34","Scotland","Male","230","80","0.343"
"2022","30 - 34","Scotland","Male","240","75","0.313"
"2023","30 - 34","Scotland","Male","205","85","0.41000000000000003"
"2019","35 and over","Scotland","Male","360","125","0.353"
"2020","35 and over","Scotland","Male","455","155","0.336"
"2021","35 and over","Scotland","Male","520","165","0.313"
"2022","35 and over","Scotland","Male","435","180","0.40900000000000003"
"2023","35 and over","Scotland","Male","415","175","0.417"
"2019","18","Wales","Male","70","30","0.4"
"2020","18","Wales","Male","85","40","0.459"
"2021","18","Wales","Male","100","50","0.48"
"2022","18","Wales","Male","135","65","0.481"
"2023","18","Wales","Male","105","50","0.467"
"2019","19","Wales","Male","75","25","0.307"
"2020","19","Wales","Male","50","25","0.52"
"2021","19","Wales","Male","65","30","0.431"
"2022","19","Wales","Male","60","25","0.4"
"2023","19","Wales","Male","55","25","0.491"
"2019","20","Wales","Male","30","10","0.333"
"2020","20","Wales","Male","50","10","0.24"
"2021","20","Wales","Male","40","15","0.4"
"2022","20","Wales","Male","20","5"," "
"2023","20","Wales","Male","55","20","0.34500000000000003"
"2019","21 - 24","Wales","Male","115","50","0.417"
"2020","21 - 24","Wales","Male","115","40","0.365"
"2021","21 - 24","Wales","Male","165","60","0.358"
"2022","21 - 24","Wales","Male","100","35","0.33"
"2023","21 - 24","Wales","Male","100","45","0.47000000000000003"
"2019","25 - 29","Wales","Male","110","50","0.436"
"2020","25 - 29","Wales","Male","130","45","0.354"
"2021","25 - 29","Wales","Male","150","65","0.433"
"2022","25 - 29","Wales","Male","140","50","0.371"
"2023","25 - 29","Wales","Male","115","35","0.304"
"2019","30 - 34","Wales","Male","75","25","0.32"
"2020","30 - 34","Wales","Male","105","40","0.362"
"2021","30 - 34","Wales","Male","90","30","0.322"
"2022","30 - 34","Wales","Male","115","40","0.357"
"2023","30 - 34","Wales","Male","70","25","0.329"
"2019","35 and over","Wales","Male","110","25","0.23600000000000002"
"2020","35 and over","Wales","Male","200","60","0.295"
"2021","35 and over","Wales","Male","125","45","0.352"
"2022","35 and over","Wales","Male","150","40","0.28"
"2023","35 and over","Wales","Male","95","30","0.337"
"2019","17 and under","Not EU","Male","15","0"," "
"2020","17 and under","Not EU","Male","15","0"," "
"2021","17 and under","Not EU","Male","20","0"," "
"2022","17 and under","Not EU","Male","55","5"," "
"2023","17 and under","Not EU","Male","90","5"," "
"2019","18","Not EU","Male","30","10"," "
"2020","18","Not EU","Male","60","20","0.317"
"2021","18","Not EU","Male","70","15","0.186"
"2022","18","Not EU","Male","195","30","0.164"
"2023","18","Not EU","Male","235","45","0.196"
"2019","19","Not EU","Male","30","5"," "
"2020","19","Not EU","Male","80","20","0.263"
"2021","19","Not EU","Male","180","30","0.161"
"2022","19","Not EU","Male","435","60","0.136"
"2023","19","Not EU","Male","340","70","0.2"
"2019","20","Not EU","Male","25","0"," "
"2020","20","Not EU","Male","70","25","0.343"
"2021","20","Not EU","Male","100","25","0.24"
"2022","20","Not EU","Male","245","35","0.139"
"2023","20","Not EU","Male","185","30","0.17300000000000001"
"2019","21 - 24","Not EU","Male","110","10","0.109"
"2020","21 - 24","Not EU","Male","135","25","0.193"
"2021","21 - 24","Not EU","Male","270","35","0.137"
"2022","21 - 24","Not EU","Male","530","65","0.121"
"2023","21 - 24","Not EU","Male","530","65","0.121"
"2019","25 - 29","Not EU","Male","110","15","0.155"
"2020","25 - 29","Not EU","Male","170","30","0.165"
"2021","25 - 29","Not EU","Male","315","40","0.13"
"2022","25 - 29","Not EU","Male","500","55","0.114"
"2023","25 - 29","Not EU","Male","470","90","0.189"
"2019","30 - 34","Not EU","Male","120","25","0.2"
"2020","30 - 34","Not EU","Male","160","35","0.225"
"2021","30 - 34","Not EU","Male","255","45","0.169"
"2022","30 - 34","Not EU","Male","375","50","0.136"
"2023","30 - 34","Not EU","Male","380","45","0.113"
"2019","35 and over","Not EU","Male","125","20","0.168"
"2020","35 and over","Not EU","Male","225","40","0.169"
"2021","35 and over","Not EU","Male","315","35","0.105"
"2022","35 and over","Not EU","Male","485","55","0.113"
"2023","35 and over","Not EU","Male","410","50","0.12"
"2019","17 and under","EU (excluding UK)","Male","5","0"," "
"2020","17 and under","EU (excluding UK)","Male","5","0"," "
"2021","17 and under","EU (excluding UK)","Male","25","5"," "
"2022","17 and under","EU (excluding UK)","Male","15","5"," "
"2019","18","EU (excluding UK)","Male","35","5"," "
"2020","18","EU (excluding UK)","Male","45","15","0.289"
"2021","18","EU (excluding UK)","Male","55","10","0.218"
"2022","18","EU (excluding UK)","Male","45","5"," "
"2023","18","EU (excluding UK)","Male","50","20","0.36"
"2019","19","EU (excluding UK)","Male","65","25","0.354"
"2020","19","EU (excluding UK)","Male","55","20","0.382"
"2021","19","EU (excluding UK)","Male","45","10","0.267"
"2022","19","EU (excluding UK)","Male","55","5"," "
"2023","19","EU (excluding UK)","Male","40","15","0.325"
"2019","20","EU (excluding UK)","Male","55","20","0.364"
"2020","20","EU (excluding UK)","Male","45","20","0.422"
"2021","20","EU (excluding UK)","Male","45","15","0.289"
"2022","20","EU (excluding UK)","Male","55","15","0.291"
"2023","20","EU (excluding UK)","Male","15","5"," "
"2019","21 - 24","EU (excluding UK)","Male","55","15","0.309"
"2020","21 - 24","EU (excluding UK)","Male","55","15","0.291"
"2021","21 - 24","EU (excluding UK)","Male","95","20","0.232"
"2022","21 - 24","EU (excluding UK)","Male","60","10","0.183"
"2023","21 - 24","EU (excluding UK)","Male","25","5"," "
"2019","25 - 29","EU (excluding UK)","Male","60","15","0.28300000000000003"
"2020","25 - 29","EU (excluding UK)","Male","50","15","0.34"
"2021","25 - 29","EU (excluding UK)","Male","55","15","0.291"
"2022","25 - 29","EU (excluding UK)","Male","30","5"," "
"2023","25 - 29","EU (excluding UK)","Male","30","5"," "
"2019","30 - 34","EU (excluding UK)","Male","15","0"," "
"2020","30 - 34","EU (excluding UK)","Male","25","5"," "
"2021","30 - 34","EU (excluding UK)","Male","20","0"," "
"2022","30 - 34","EU (excluding UK)","Male","10","0"," "
"2019","35 and over","EU (excluding UK)","Male","20","10"," "
"2020","35 and over","EU (excluding UK)","Male","60","15","0.267"
"2021","35 and over","EU (excluding UK)","Male","15","0"," "
"2022","35 and over","EU (excluding UK)","Male","25","0"," "
"2023","35 and over","EU (excluding UK)","Male","25","5"," "
"2019","All","Northern Ireland","Female","7410","2210","0.299"
"2020","All","Northern Ireland","Female","6995","2750","0.393"
"2021","All","Northern Ireland","Female","8370","2865","0.342"
"2022","All","Northern Ireland","Female","7270","2565","0.353"
"2023","All","Northern Ireland","Female","5625","2175","0.386"
"2019","All","England","Female","84075","34900","0.41500000000000004"
"2020","All","England","Female","97125","43930","0.452"
"2021","All","England","Female","119400","52665","0.441"
"2022","All","England","Female","110850","44645","0.403"
"2023","All","England","Female","90485","38700","0.428"
"2019","All","Scotland","Female","14460","5855","0.405"
"2020","All","Scotland","Female","15625","6335","0.406"
"2021","All","Scotland","Female","18350","7135","0.389"
"2022","All","Scotland","Female","16530","6800","0.41100000000000003"
"2023","All","Scotland","Female","12855","6355","0.494"
"2019","All","Wales","Female","6640","2815","0.424"
"2020","All","Wales","Female","6925","2935","0.424"
"2021","All","Wales","Female","7690","3245","0.422"
"2022","All","Wales","Female","6560","2740","0.417"
"2023","All","Wales","Female","4595","2105","0.458"
"2019","All","Not EU","Female","2185","515","0.23500000000000001"
"2020","All","Not EU","Female","3295","800","0.242"
"2021","All","Not EU","Female","5585","980","0.176"
"2022","All","Not EU","Female","8910","1345","0.151"
"2023","All","Not EU","Female","8595","1415","0.165"
"2019","All","EU (excluding UK)","Female","3550","1000","0.28200000000000003"
"2020","All","EU (excluding UK)","Female","3645","1125","0.309"
"2021","All","EU (excluding UK)","Female","3820","1075","0.281"
"2022","All","EU (excluding UK)","Female","2855","735","0.258"
"2023","All","EU (excluding UK)","Female","2340","850","0.363"
"2019","All","Northern Ireland","Male","610","175","0.289"
"2020","All","Northern Ireland","Male","545","190","0.34700000000000003"
"2021","All","Northern Ireland","Male","700","195","0.276"
"2022","All","Northern Ireland","Male","605","170","0.28300000000000003"
"2023","All","Northern Ireland","Male","495","170","0.34500000000000003"
"2019","All","England","Male","10480","3690","0.352"
"2020","All","England","Male","13200","4825","0.366"
"2021","All","England","Male","15840","5290","0.334"
"2022","All","England","Male","16610","5110","0.308"
"2023","All","England","Male","14960","4890","0.327"
"2019","All","Scotland","Male","1485","565","0.38"
"2020","All","Scotland","Male","1720","625","0.363"
"2021","All","Scotland","Male","1935","685","0.353"
"2022","All","Scotland","Male","1655","650","0.394"
"2023","All","Scotland","Male","1365","635","0.465"
"2019","All","Wales","Male","585","205","0.354"
"2020","All","Wales","Male","735","260","0.356"
"2021","All","Wales","Male","725","290","0.399"
"2022","All","Wales","Male","720","260","0.364"
"2023","All","Wales","Male","590","230","0.393"
"2019","All","Not EU","Male","565","90","0.163"
"2020","All","Not EU","Male","910","195","0.213"
"2021","All","Not EU","Male","1520","220","0.145"
"2022","All","Not EU","Male","2820","355","0.126"
"2023","All","Not EU","Male","2640","395","0.15"
"2019","All","EU (excluding UK)","Male","310","95","0.3"
"2020","All","EU (excluding UK)","Male","330","110","0.327"
"2021","All","EU (excluding UK)","Male","360","85","0.233"
"2022","All","EU (excluding UK)","Male","295","50","0.17300000000000001"
"2023","All","EU (excluding UK)","Male","175","45","0.263"
"2019","17 and under","All","Female","450","135","0.298"
"2020","17 and under","All","Female","475","150","0.318"
"2021","17 and under","All","Female","640","140","0.217"
"2022","17 and under","All","Female","855","215","0.249"
"2023","17 and under","All","Female","730","185","0.251"
"2019","18","All","Female","34605","15580","0.45"
