"Year","Achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","All","Black","All","Main scheme application","40","30","0.738","0"
"2022","All","Black","All","Main scheme application","45","35","0.761","0"
"2023","All","Black","All","Main scheme application","80","70","0.911","0"
"2010","All","Asian","All","Main scheme application","75","60","0.8130000000000001","0"
"2011","All","Asian","All","Main scheme application","80","65","0.838","0"
"2012","All","Asian","All","Main scheme application","100","75","0.755","0"
"2013","All","Asian","All","Main scheme application","95","75","0.785","0"
"2014","All","Asian","All","Main scheme application","95","85","0.896","0"
"2015","All","Asian","All","Main scheme application","145","120","0.84","0"
"2016","All","Asian","All","Main scheme application","145","120","0.8220000000000001","0"
"2017","All","Asian","All","Main scheme application","160","130","0.801","0"
"2018","All","Asian","All","Main scheme application","165","130","0.81","0"
"2019","All","Asian","All","Main scheme application","180","155","0.866","0"
"2020","All","Asian","All","Main scheme application","250","205","0.8310000000000001","0"
"2021","All","Asian","All","Main scheme application","240","190","0.785","0"
"2022","All","Asian","All","Main scheme application","305","255","0.833","0"
"2023","All","Asian","All","Main scheme application","360","320","0.892","0"
"2010","All","Mixed","All","Main scheme application","25","20","0.792","0"
"2011","All","Mixed","All","Main scheme application","35","35","0.9440000000000001","0"
"2012","All","Mixed","All","Main scheme application","35","25","0.727","0"
"2013","All","Mixed","All","Main scheme application","35","30","0.853","0"
"2014","All","Mixed","All","Main scheme application","45","35","0.739","0"
"2015","All","Mixed","All","Main scheme application","55","50","0.86","0"
"2016","All","Mixed","All","Main scheme application","55","50","0.907","0"
"2017","All","Mixed","All","Main scheme application","60","50","0.864","0"
"2018","All","Mixed","All","Main scheme application","55","50","0.857","0"
"2019","All","Mixed","All","Main scheme application","60","55","0.898","0"
"2020","All","Mixed","All","Main scheme application","80","75","0.914","0"
"2021","All","Mixed","All","Main scheme application","100","90","0.881","0"
"2022","All","Mixed","All","Main scheme application","110","95","0.898","0"
"2023","All","Mixed","All","Main scheme application","125","115","0.927","0"
"2010","All","Other","All","Main scheme application","5","5"," ","0"
"2011","All","Other","All","Main scheme application","5","0"," ","0"
"2012","All","Other","All","Main scheme application","5","5"," ","0"
"2013","All","Other","All","Main scheme application","10","5"," ","0"
"2014","All","Other","All","Main scheme application","15","10"," ","0"
"2015","All","Other","All","Main scheme application","15","10"," ","0"
"2016","All","Other","All","Main scheme application","15","15","0.882","0"
"2017","All","Other","All","Main scheme application","15","10","0.733","0"
"2018","All","Other","All","Main scheme application","15","15","1","0"
"2019","All","Other","All","Main scheme application","20","15","0.684","0"
"2020","All","Other","All","Main scheme application","25","20","0.778","0"
"2021","All","Other","All","Main scheme application","30","20","0.7000000000000001","0"
"2022","All","Other","All","Main scheme application","40","30","0.6900000000000001","0"
"2023","All","Other","All","Main scheme application","45","35","0.837","0"
"2010","All","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2011","All","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2012","All","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2013","All","Unknown or Prefer Not To Say","All","Main scheme application","10","10"," ","0"
"2014","All","Unknown or Prefer Not To Say","All","Main scheme application","5","5"," ","0"
"2015","All","Unknown or Prefer Not To Say","All","Main scheme application","10","5"," ","0"
"2016","All","Unknown or Prefer Not To Say","All","Main scheme application","15","15","0.8130000000000001","0"
"2017","All","Unknown or Prefer Not To Say","All","Main scheme application","20","20","0.857","0"
"2018","All","Unknown or Prefer Not To Say","All","Main scheme application","25","20","0.833","0"
"2019","All","Unknown or Prefer Not To Say","All","Main scheme application","25","20","0.87","0"
"2020","All","Unknown or Prefer Not To Say","All","Main scheme application","25","20","0.917","0"
"2021","All","Unknown or Prefer Not To Say","All","Main scheme application","20","15","0.789","0"
"2022","All","Unknown or Prefer Not To Say","All","Main scheme application","30","20","0.759","0"
"2023","All","Unknown or Prefer Not To Say","All","Main scheme application","25","20","0.913","0"
"2012","4 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","5 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","5 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","5 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","5 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2019","5 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2020","5 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","5 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2023","5 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","6 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","6 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2015","6 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","6 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2020","6 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","6 point(s)","All","All","Not main scheme application","15","10","0.8","0"
"2023","6 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","7 point(s)","All","All","Not main scheme application","5","0"," ","0"
"2011","7 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2015","7 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","7 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2018","7 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2020","7 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2021","7 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2023","7 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2010","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","All","All","Not main scheme application","15","5"," ","0"
"2015","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2021","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2023","8 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2011","9 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","9 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2015","9 point(s)","All","All","Not main scheme application","15","15","1","0"
"2016","9 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2017","9 point(s)","All","All","Not main scheme application","15","15","0.929","0"
"2018","9 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2019","9 point(s)","All","All","Not main scheme application","15","10","0.769","0"
"2020","9 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2022","9 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2023","9 point(s)","All","All","Not main scheme application","10","10","0.917","0"
"2011","10 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","10 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2014","10 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2015","10 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2020","10 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2021","10 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2022","10 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2011","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2013","11 point(s)","All","All","Not main scheme application","10","10","1","0"
"2014","11 point(s)","All","All","Not main scheme application","10","5"," ","0"
"2015","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2017","11 point(s)","All","All","Not main scheme application","15","10"," ","0"
"2018","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","All","All","Not main scheme application","15","15","1","0"
"2020","11 point(s)","All","All","Not main scheme application","15","10","0.714","0"
"2021","11 point(s)","All","All","Not main scheme application","15","15","0.882","0"
"2022","11 point(s)","All","All","Not main scheme application","10","10","0.917","0"
"2023","11 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","All","All","Not main scheme application","10","10"," ","0"
"2013","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","All","All","Not main scheme application","10","10","1","0"
"2015","12 point(s)","All","All","Not main scheme application","10","10","0.909","0"
"2016","12 point(s)","All","All","Not main scheme application","15","15","1","0"
"2017","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","All","All","Not main scheme application","15","15","0.933","0"
"2019","12 point(s)","All","All","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","All","All","Not main scheme application","20","20","0.9550000000000001","0"
"2021","12 point(s)","All","All","Not main scheme application","15","10","0.769","0"
"2022","12 point(s)","All","All","Not main scheme application","10","10","0.917","0"
"2023","12 point(s)","All","All","Not main scheme application","15","10","0.923","0"
"2011","3 point(s)","All","All","Main scheme application","5","5"," ","0"
"2017","3 point(s)","All","All","Main scheme application","5","0"," ","0"
"2020","3 point(s)","All","All","Main scheme application","5","0"," ","0"
"2021","3 point(s)","All","All","Main scheme application","5","0"," ","0"
"2022","3 point(s)","All","All","Main scheme application","5","5"," ","0"
"2023","3 point(s)","All","All","Main scheme application","10","10","0.917","0"
"2010","4 point(s)","All","All","Main scheme application","15","10","0.846","0"
"2011","4 point(s)","All","All","Main scheme application","10","5"," ","0"
"2012","4 point(s)","All","All","Main scheme application","15","10","0.714","0"
"2013","4 point(s)","All","All","Main scheme application","10","5"," ","0"
"2014","4 point(s)","All","All","Main scheme application","10","10"," ","0"
"2015","4 point(s)","All","All","Main scheme application","10","10","1","0"
"2016","4 point(s)","All","All","Main scheme application","10","5"," ","0"
"2017","4 point(s)","All","All","Main scheme application","20","15","0.833","0"
"2018","4 point(s)","All","All","Main scheme application","10","10","1","0"
"2019","4 point(s)","All","All","Main scheme application","15","10","0.846","0"
"2020","4 point(s)","All","All","Main scheme application","10","5"," ","0"
"2021","4 point(s)","All","All","Main scheme application","10","10"," ","0"
"2022","4 point(s)","All","All","Main scheme application","30","25","0.929","0"
"2023","4 point(s)","All","All","Main scheme application","50","45","0.9390000000000001","0"
"2010","5 point(s)","All","All","Main scheme application","30","20","0.733","0"
"2011","5 point(s)","All","All","Main scheme application","35","30","0.9410000000000001","0"
"2012","5 point(s)","All","All","Main scheme application","35","25","0.75","0"
"2013","5 point(s)","All","All","Main scheme application","30","30","0.906","0"
"2014","5 point(s)","All","All","Main scheme application","35","30","0.889","0"
"2015","5 point(s)","All","All","Main scheme application","40","30","0.789","0"
"2016","5 point(s)","All","All","Main scheme application","30","25","0.839","0"
"2017","5 point(s)","All","All","Main scheme application","35","30","0.757","0"
"2018","5 point(s)","All","All","Main scheme application","40","35","0.85","0"
"2019","5 point(s)","All","All","Main scheme application","50","40","0.857","0"
"2020","5 point(s)","All","All","Main scheme application","25","20","0.769","0"
"2021","5 point(s)","All","All","Main scheme application","25","20","0.769","0"
"2022","5 point(s)","All","All","Main scheme application","65","55","0.889","0"
"2023","5 point(s)","All","All","Main scheme application","85","75","0.884","0"
"2010","6 point(s)","All","All","Main scheme application","70","65","0.887","0"
"2011","6 point(s)","All","All","Main scheme application","60","50","0.8","0"
"2012","6 point(s)","All","All","Main scheme application","75","65","0.855","0"
"2013","6 point(s)","All","All","Main scheme application","70","60","0.833","0"
"2014","6 point(s)","All","All","Main scheme application","80","70","0.887","0"
"2015","6 point(s)","All","All","Main scheme application","75","60","0.795","0"
"2016","6 point(s)","All","All","Main scheme application","70","65","0.9","0"
"2017","6 point(s)","All","All","Main scheme application","80","70","0.873","0"
"2018","6 point(s)","All","All","Main scheme application","85","70","0.8260000000000001","0"
"2019","6 point(s)","All","All","Main scheme application","85","75","0.871","0"
"2020","6 point(s)","All","All","Main scheme application","55","45","0.836","0"
"2021","6 point(s)","All","All","Main scheme application","45","40","0.907","0"
"2022","6 point(s)","All","All","Main scheme application","120","100","0.803","0"
"2023","6 point(s)","All","All","Main scheme application","120","105","0.891","0"
"2010","7 point(s)","All","All","Main scheme application","100","90","0.902","0"
"2011","7 point(s)","All","All","Main scheme application","120","110","0.9","0"
"2012","7 point(s)","All","All","Main scheme application","130","100","0.773","0"
"2013","7 point(s)","All","All","Main scheme application","115","100","0.86","0"
"2014","7 point(s)","All","All","Main scheme application","130","115","0.884","0"
"2015","7 point(s)","All","All","Main scheme application","140","125","0.872","0"
"2016","7 point(s)","All","All","Main scheme application","105","90","0.867","0"
"2017","7 point(s)","All","All","Main scheme application","130","115","0.869","0"
"2018","7 point(s)","All","All","Main scheme application","130","115","0.884","0"
"2019","7 point(s)","All","All","Main scheme application","120","110","0.917","0"
"2020","7 point(s)","All","All","Main scheme application","95","85","0.887","0"
"2021","7 point(s)","All","All","Main scheme application","75","60","0.805","0"
"2022","7 point(s)","All","All","Main scheme application","175","150","0.868","0"
"2023","7 point(s)","All","All","Main scheme application","175","160","0.898","0"
"2010","8 point(s)","All","All","Main scheme application","170","150","0.888","0"
"2011","8 point(s)","All","All","Main scheme application","180","165","0.922","0"
"2012","8 point(s)","All","All","Main scheme application","170","145","0.849","0"
"2013","8 point(s)","All","All","Main scheme application","185","160","0.869","0"
"2014","8 point(s)","All","All","Main scheme application","210","185","0.863","0"
"2015","8 point(s)","All","All","Main scheme application","170","150","0.884","0"
"2016","8 point(s)","All","All","Main scheme application","175","155","0.908","0"
"2017","8 point(s)","All","All","Main scheme application","165","150","0.892","0"
"2018","8 point(s)","All","All","Main scheme application","190","170","0.904","0"
"2019","8 point(s)","All","All","Main scheme application","185","160","0.885","0"
"2020","8 point(s)","All","All","Main scheme application","155","130","0.841","0"
"2021","8 point(s)","All","All","Main scheme application","115","100","0.863","0"
"2022","8 point(s)","All","All","Main scheme application","195","170","0.853","0"
"2023","8 point(s)","All","All","Main scheme application","230","210","0.909","0"
"2010","9 point(s)","All","All","Main scheme application","190","165","0.859","0"
"2011","9 point(s)","All","All","Main scheme application","220","195","0.899","0"
"2012","9 point(s)","All","All","Main scheme application","195","180","0.908","0"
"2013","9 point(s)","All","All","Main scheme application","220","210","0.9500000000000001","0"
"2014","9 point(s)","All","All","Main scheme application","210","185","0.882","0"
"2015","9 point(s)","All","All","Main scheme application","255","220","0.867","0"
"2016","9 point(s)","All","All","Main scheme application","220","195","0.887","0"
"2017","9 point(s)","All","All","Main scheme application","250","215","0.857","0"
"2018","9 point(s)","All","All","Main scheme application","220","190","0.881","0"
"2019","9 point(s)","All","All","Main scheme application","215","190","0.883","0"
"2020","9 point(s)","All","All","Main scheme application","215","195","0.898","0"
"2021","9 point(s)","All","All","Main scheme application","170","140","0.8280000000000001","0"
"2022","9 point(s)","All","All","Main scheme application","285","245","0.85","0"
"2023","9 point(s)","All","All","Main scheme application","310","275","0.886","0"
"2010","10 point(s)","All","All","Main scheme application","195","180","0.913","0"
"2011","10 point(s)","All","All","Main scheme application","250","220","0.888","0"
"2012","10 point(s)","All","All","Main scheme application","235","210","0.901","0"
"2013","10 point(s)","All","All","Main scheme application","260","230","0.884","0"
"2014","10 point(s)","All","All","Main scheme application","275","235","0.862","0"
"2015","10 point(s)","All","All","Main scheme application","305","270","0.888","0"
"2016","10 point(s)","All","All","Main scheme application","245","220","0.887","0"
"2017","10 point(s)","All","All","Main scheme application","285","255","0.908","0"
"2018","10 point(s)","All","All","Main scheme application","275","245","0.895","0"
"2019","10 point(s)","All","All","Main scheme application","260","235","0.904","0"
"2020","10 point(s)","All","All","Main scheme application","260","225","0.864","0"
"2021","10 point(s)","All","All","Main scheme application","290","270","0.928","0"
"2022","10 point(s)","All","All","Main scheme application","315","280","0.883","0"
"2023","10 point(s)","All","All","Main scheme application","375","350","0.931","0"
"2010","11 point(s)","All","All","Main scheme application","235","215","0.915","0"
"2011","11 point(s)","All","All","Main scheme application","260","235","0.904","0"
"2012","11 point(s)","All","All","Main scheme application","260","230","0.874","0"
"2013","11 point(s)","All","All","Main scheme application","310","270","0.875","0"
"2014","11 point(s)","All","All","Main scheme application","290","265","0.917","0"
"2015","11 point(s)","All","All","Main scheme application","325","290","0.901","0"
"2016","11 point(s)","All","All","Main scheme application","325","290","0.893","0"
"2017","11 point(s)","All","All","Main scheme application","335","295","0.881","0"
"2018","11 point(s)","All","All","Main scheme application","360","325","0.895","0"
"2019","11 point(s)","All","All","Main scheme application","315","280","0.901","0"
"2020","11 point(s)","All","All","Main scheme application","310","270","0.88","0"
"2021","11 point(s)","All","All","Main scheme application","380","340","0.892","0"
"2022","11 point(s)","All","All","Main scheme application","405","360","0.891","0"
"2023","11 point(s)","All","All","Main scheme application","400","370","0.93","0"
"2010","12 point(s)","All","All","Main scheme application","435","400","0.926","0"
"2011","12 point(s)","All","All","Main scheme application","450","420","0.927","0"
"2012","12 point(s)","All","All","Main scheme application","460","415","0.898","0"
"2013","12 point(s)","All","All","Main scheme application","560","515","0.916","0"
"2014","12 point(s)","All","All","Main scheme application","525","485","0.92","0"
"2015","12 point(s)","All","All","Main scheme application","565","520","0.919","0"
"2016","12 point(s)","All","All","Main scheme application","660","600","0.911","0"
"2017","12 point(s)","All","All","Main scheme application","610","565","0.926","0"
"2018","12 point(s)","All","All","Main scheme application","645","595","0.92","0"
"2019","12 point(s)","All","All","Main scheme application","610","575","0.9400000000000001","0"
"2020","12 point(s)","All","All","Main scheme application","1020","935","0.916","0"
"2021","12 point(s)","All","All","Main scheme application","1260","1150","0.913","0"
"2022","12 point(s)","All","All","Main scheme application","855","790","0.924","0"
"2023","12 point(s)","All","All","Main scheme application","820","770","0.9390000000000001","0"
"2010","All","All","All","Not main scheme application","25","20","0.88","0"
"2011","All","All","All","Not main scheme application","35","30","0.806","0"
"2012","All","All","All","Not main scheme application","50","45","0.885","0"
"2013","All","All","All","Not main scheme application","50","45","0.9380000000000001","0"
"2014","All","All","All","Not main scheme application","65","50","0.785","0"
"2015","All","All","All","Not main scheme application","60","60","0.935","0"
"2016","All","All","All","Not main scheme application","50","45","0.846","0"
"2017","All","All","All","Not main scheme application","65","55","0.873","0"
"2018","All","All","All","Not main scheme application","60","50","0.852","0"
"2019","All","All","All","Not main scheme application","65","55","0.891","0"
"2020","All","All","All","Not main scheme application","80","70","0.864","0"
"2021","All","All","All","Not main scheme application","60","50","0.806","0"
"2022","All","All","All","Not main scheme application","85","70","0.833","0"
"2023","All","All","All","Not main scheme application","70","60","0.897","0"
"2010","All","All","All","Main scheme application","1445","1300","0.9","0"
"2011","All","All","All","Main scheme application","1590","1435","0.905","0"
"2012","All","All","All","Main scheme application","1580","1380","0.873","0"
"2013","All","All","All","Main scheme application","1765","1580","0.895","0"
"2014","All","All","All","Main scheme application","1770","1580","0.893","0"
"2015","All","All","All","Main scheme application","1885","1675","0.89","0"
"2016","All","All","All","Main scheme application","1845","1650","0.894","0"
"2017","All","All","All","Main scheme application","1915","1705","0.892","0"
"2018","All","All","All","Main scheme application","1955","1755","0.897","0"
"2019","All","All","All","Main scheme application","1850","1685","0.909","0"
"2020","All","All","All","Main scheme application","2150","1915","0.891","0"
"2021","All","All","All","Main scheme application","2375","2130","0.896","0"
"2022","All","All","All","Main scheme application","2445","2170","0.888","0"
"2023","All","All","All","Main scheme application","2580","2375","0.921","0"
"2011","3 point(s)","White","Main scheme applicant","All","5","5"," ","0"
"2017","3 point(s)","White","Main scheme applicant","All","5","5"," ","0"
"2022","3 point(s)","White","Main scheme applicant","All","5","5"," ","0"
"2023","3 point(s)","White","Main scheme applicant","All","5","5"," ","0"
"2010","4 point(s)","White","Main scheme applicant","All","10","10","0.833","0"
"2011","4 point(s)","White","Main scheme applicant","All","10","10"," ","0"
"2012","4 point(s)","White","Main scheme applicant","All","10","10","0.917","0"
"2013","4 point(s)","White","Main scheme applicant","All","10","5"," ","0"
"2014","4 point(s)","White","Main scheme applicant","All","10","10"," ","0"
"2015","4 point(s)","White","Main scheme applicant","All","10","10","1","0"
"2016","4 point(s)","White","Main scheme applicant","All","10","5"," ","0"
"2017","4 point(s)","White","Main scheme applicant","All","15","15","0.867","0"
"2018","4 point(s)","White","Main scheme applicant","All","10","10","1","0"
"2019","4 point(s)","White","Main scheme applicant","All","10","10","0.909","0"
"2020","4 point(s)","White","Main scheme applicant","All","5","5"," ","0"
"2021","4 point(s)","White","Main scheme applicant","All","10","5"," ","0"
"2022","4 point(s)","White","Main scheme applicant","All","20","20","0.9550000000000001","0"
"2023","4 point(s)","White","Main scheme applicant","All","30","30","1","0"
"2010","5 point(s)","White","Main scheme applicant","All","25","20","0.8260000000000001","0"
"2011","5 point(s)","White","Main scheme applicant","All","30","30","0.933","0"
"2012","5 point(s)","White","Main scheme applicant","All","30","25","0.833","0"
"2013","5 point(s)","White","Main scheme applicant","All","30","30","1","0"
"2014","5 point(s)","White","Main scheme applicant","All","30","30","0.967","0"
"2015","5 point(s)","White","Main scheme applicant","All","35","30","0.886","0"
"2016","5 point(s)","White","Main scheme applicant","All","30","25","0.893","0"
"2017","5 point(s)","White","Main scheme applicant","All","30","25","0.931","0"
"2018","5 point(s)","White","Main scheme applicant","All","30","30","0.875","0"
"2019","5 point(s)","White","Main scheme applicant","All","40","35","0.921","0"
"2020","5 point(s)","White","Main scheme applicant","All","25","20","0.913","0"
"2021","5 point(s)","White","Main scheme applicant","All","20","20","0.857","0"
"2022","5 point(s)","White","Main scheme applicant","All","50","45","0.898","0"
"2023","5 point(s)","White","Main scheme applicant","All","55","50","0.929","0"
"2010","6 point(s)","White","Main scheme applicant","All","65","60","0.896","0"
"2011","6 point(s)","White","Main scheme applicant","All","55","50","0.926","0"
"2012","6 point(s)","White","Main scheme applicant","All","65","60","0.881","0"
"2013","6 point(s)","White","Main scheme applicant","All","65","60","0.924","0"
"2014","6 point(s)","White","Main scheme applicant","All","75","70","0.919","0"
"2015","6 point(s)","White","Main scheme applicant","All","65","60","0.922","0"
"2016","6 point(s)","White","Main scheme applicant","All","60","55","0.917","0"
"2017","6 point(s)","White","Main scheme applicant","All","65","60","0.924","0"
"2018","6 point(s)","White","Main scheme applicant","All","70","65","0.917","0"
"2019","6 point(s)","White","Main scheme applicant","All","75","65","0.893","0"
"2020","6 point(s)","White","Main scheme applicant","All","40","40","0.976","0"
"2021","6 point(s)","White","Main scheme applicant","All","35","30","0.882","0"
"2022","6 point(s)","White","Main scheme applicant","All","90","80","0.891","0"
"2023","6 point(s)","White","Main scheme applicant","All","90","85","0.9460000000000001","0"
"2010","7 point(s)","White","Main scheme applicant","All","95","90","0.928","0"
"2011","7 point(s)","White","Main scheme applicant","All","110","100","0.936","0"
"2012","7 point(s)","White","Main scheme applicant","All","110","95","0.838","0"
"2013","7 point(s)","White","Main scheme applicant","All","110","95","0.889","0"
"2014","7 point(s)","White","Main scheme applicant","All","120","115","0.934","0"
"2015","7 point(s)","White","Main scheme applicant","All","115","105","0.929","0"
"2016","7 point(s)","White","Main scheme applicant","All","90","85","0.902","0"
"2017","7 point(s)","White","Main scheme applicant","All","105","95","0.924","0"
"2018","7 point(s)","White","Main scheme applicant","All","110","100","0.909","0"
"2019","7 point(s)","White","Main scheme applicant","All","105","105","0.981","0"
"2020","7 point(s)","White","Main scheme applicant","All","75","75","0.973","0"
"2021","7 point(s)","White","Main scheme applicant","All","65","60","0.881","0"
"2022","7 point(s)","White","Main scheme applicant","All","135","125","0.9400000000000001","0"
"2023","7 point(s)","White","Main scheme applicant","All","135","130","0.964","0"
"2010","8 point(s)","White","Main scheme applicant","All","160","145","0.925","0"
"2011","8 point(s)","White","Main scheme applicant","All","165","155","0.928","0"
"2012","8 point(s)","White","Main scheme applicant","All","155","135","0.877","0"
"2013","8 point(s)","White","Main scheme applicant","All","165","150","0.915","0"
"2014","8 point(s)","White","Main scheme applicant","All","195","175","0.912","0"
"2015","8 point(s)","White","Main scheme applicant","All","155","145","0.9420000000000001","0"
"2016","8 point(s)","White","Main scheme applicant","All","150","140","0.9460000000000001","0"
"2017","8 point(s)","White","Main scheme applicant","All","140","130","0.9500000000000001","0"
"2018","8 point(s)","White","Main scheme applicant","All","170","155","0.935","0"
"2019","8 point(s)","White","Main scheme applicant","All","150","140","0.914","0"
"2020","8 point(s)","White","Main scheme applicant","All","125","110","0.889","0"
"2021","8 point(s)","White","Main scheme applicant","All","100","90","0.929","0"
"2022","8 point(s)","White","Main scheme applicant","All","150","140","0.927","0"
"2023","8 point(s)","White","Main scheme applicant","All","160","145","0.913","0"
"2010","9 point(s)","White","Main scheme applicant","All","170","155","0.895","0"
"2011","9 point(s)","White","Main scheme applicant","All","200","185","0.92","0"
"2012","9 point(s)","White","Main scheme applicant","All","175","165","0.9430000000000001","0"
"2013","9 point(s)","White","Main scheme applicant","All","200","190","0.9500000000000001","0"
"2014","9 point(s)","White","Main scheme applicant","All","190","175","0.921","0"
"2015","9 point(s)","White","Main scheme applicant","All","230","210","0.921","0"
"2016","9 point(s)","White","Main scheme applicant","All","205","190","0.936","0"
"2017","9 point(s)","White","Main scheme applicant","All","215","195","0.907","0"
"2018","9 point(s)","White","Main scheme applicant","All","185","170","0.934","0"
"2019","9 point(s)","White","Main scheme applicant","All","175","165","0.9430000000000001","0"
"2020","9 point(s)","White","Main scheme applicant","All","170","160","0.935","0"
"2021","9 point(s)","White","Main scheme applicant","All","130","110","0.86","0"
"2022","9 point(s)","White","Main scheme applicant","All","235","205","0.872","0"
"2023","9 point(s)","White","Main scheme applicant","All","220","205","0.923","0"
"2010","10 point(s)","White","Main scheme applicant","All","180","170","0.928","0"
"2011","10 point(s)","White","Main scheme applicant","All","230","205","0.895","0"
"2012","10 point(s)","White","Main scheme applicant","All","220","205","0.936","0"
"2013","10 point(s)","White","Main scheme applicant","All","240","225","0.929","0"
"2014","10 point(s)","White","Main scheme applicant","All","250","230","0.912","0"
"2015","10 point(s)","White","Main scheme applicant","All","265","245","0.914","0"
"2016","10 point(s)","White","Main scheme applicant","All","220","205","0.914","0"
"2017","10 point(s)","White","Main scheme applicant","All","255","235","0.929","0"
"2018","10 point(s)","White","Main scheme applicant","All","235","220","0.932","0"
"2019","10 point(s)","White","Main scheme applicant","All","225","210","0.933","0"
