"Year","Provider country","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","England","21 - 24","Northern Ireland","Female","25","5"," "
"2022","England","21 - 24","Northern Ireland","Female","20","0"," "
"2023","England","21 - 24","Northern Ireland","Female","15","0"," "
"2019","Northern Ireland","21 - 24","Northern Ireland","Female","65","5"," "
"2020","Northern Ireland","21 - 24","Northern Ireland","Female","65","15","0.231"
"2021","Northern Ireland","21 - 24","Northern Ireland","Female","100","15","0.15"
"2022","Northern Ireland","21 - 24","Northern Ireland","Female","70","5"," "
"2023","Northern Ireland","21 - 24","Northern Ireland","Female","65","5"," "
"2019","Scotland","21 - 24","Northern Ireland","Female","10","0"," "
"2020","Scotland","21 - 24","Northern Ireland","Female","10","0"," "
"2021","Scotland","21 - 24","Northern Ireland","Female","10","0"," "
"2022","Scotland","21 - 24","Northern Ireland","Female","5","0"," "
"2023","Scotland","21 - 24","Northern Ireland","Female","5","0"," "
"2020","Wales","21 - 24","Northern Ireland","Female","5","0"," "
"2021","Wales","21 - 24","Northern Ireland","Female","5","0"," "
"2022","Wales","21 - 24","Northern Ireland","Female","5","5"," "
"2019","England","25 - 29","Northern Ireland","Female","20","5"," "
"2020","England","25 - 29","Northern Ireland","Female","10","0"," "
"2021","England","25 - 29","Northern Ireland","Female","10","5"," "
"2022","England","25 - 29","Northern Ireland","Female","5","0"," "
"2023","England","25 - 29","Northern Ireland","Female","5","0"," "
"2019","Northern Ireland","25 - 29","Northern Ireland","Female","75","15","0.2"
"2020","Northern Ireland","25 - 29","Northern Ireland","Female","70","15","0.243"
"2021","Northern Ireland","25 - 29","Northern Ireland","Female","85","20","0.23500000000000001"
"2022","Northern Ireland","25 - 29","Northern Ireland","Female","60","15","0.217"
"2023","Northern Ireland","25 - 29","Northern Ireland","Female","45","5"," "
"2019","Scotland","25 - 29","Northern Ireland","Female","10","0"," "
"2020","Scotland","25 - 29","Northern Ireland","Female","5","0"," "
"2021","Scotland","25 - 29","Northern Ireland","Female","5","0"," "
"2019","Wales","25 - 29","Northern Ireland","Female","5","0"," "
"2020","Wales","25 - 29","Northern Ireland","Female","5","0"," "
"2021","Wales","25 - 29","Northern Ireland","Female","5","0"," "
"2021","England","30 - 34","Northern Ireland","Female","5","0"," "
"2019","Northern Ireland","30 - 34","Northern Ireland","Female","50","10"," "
"2020","Northern Ireland","30 - 34","Northern Ireland","Female","55","10","0.218"
"2021","Northern Ireland","30 - 34","Northern Ireland","Female","70","20","0.3"
"2022","Northern Ireland","30 - 34","Northern Ireland","Female","65","15","0.246"
"2023","Northern Ireland","30 - 34","Northern Ireland","Female","60","15","0.217"
"2020","Wales","30 - 34","Northern Ireland","Female","5","0"," "
"2020","England","35 and over","Northern Ireland","Female","5","0"," "
"2021","England","35 and over","Northern Ireland","Female","5","0"," "
"2022","England","35 and over","Northern Ireland","Female","5","0"," "
"2019","Northern Ireland","35 and over","Northern Ireland","Female","80","15","0.188"
"2020","Northern Ireland","35 and over","Northern Ireland","Female","40","10","0.3"
"2021","Northern Ireland","35 and over","Northern Ireland","Female","65","10","0.169"
"2022","Northern Ireland","35 and over","Northern Ireland","Female","70","15","0.214"
"2023","Northern Ireland","35 and over","Northern Ireland","Female","55","10"," "
"2020","England","17 and under","England","Female","10","0"," "
"2021","England","17 and under","England","Female","20","5"," "
"2022","England","17 and under","England","Female","15","0"," "
"2023","England","17 and under","England","Female","20","0"," "
"2019","England","18","England","Female","7670","1870","0.244"
"2020","England","18","England","Female","8095","2320","0.28700000000000003"
"2021","England","18","England","Female","9790","2090","0.213"
"2022","England","18","England","Female","10260","2105","0.20500000000000002"
"2023","England","18","England","Female","8775","2800","0.319"
"2019","Northern Ireland","18","England","Female","15","0"," "
"2020","Northern Ireland","18","England","Female","15","0"," "
"2021","Northern Ireland","18","England","Female","20","0"," "
"2022","Northern Ireland","18","England","Female","20","0"," "
"2023","Northern Ireland","18","England","Female","20","0"," "
"2019","Scotland","18","England","Female","60","10"," "
"2020","Scotland","18","England","Female","55","5"," "
"2021","Scotland","18","England","Female","90","5"," "
"2022","Scotland","18","England","Female","90","10","0.122"
"2023","Scotland","18","England","Female","65","0"," "
"2019","Wales","18","England","Female","320","20","0.069"
"2020","Wales","18","England","Female","355","20","0.062"
"2021","Wales","18","England","Female","535","30","0.058"
"2022","Wales","18","England","Female","495","40","0.077"
"2023","Wales","18","England","Female","395","75","0.185"
"2019","England","19","England","Female","3010","640","0.213"
"2020","England","19","England","Female","2855","685","0.24"
"2021","England","19","England","Female","3450","630","0.182"
"2022","England","19","England","Female","3260","520","0.159"
"2023","England","19","England","Female","2610","670","0.256"
"2019","Northern Ireland","19","England","Female","5","0"," "
"2020","Northern Ireland","19","England","Female","5","0"," "
"2021","Northern Ireland","19","England","Female","5","0"," "
"2022","Northern Ireland","19","England","Female","5","0"," "
"2019","Scotland","19","England","Female","30","5"," "
"2020","Scotland","19","England","Female","25","5"," "
"2021","Scotland","19","England","Female","15","0"," "
"2022","Scotland","19","England","Female","20","0"," "
"2023","Scotland","19","England","Female","15","0"," "
"2019","Wales","19","England","Female","105","5"," "
"2020","Wales","19","England","Female","140","5"," "
"2021","Wales","19","England","Female","160","5"," "
"2022","Wales","19","England","Female","115","5"," "
"2023","Wales","19","England","Female","90","10","0.111"
"2019","England","20","England","Female","1645","350","0.212"
"2020","England","20","England","Female","1595","380","0.23900000000000002"
"2021","England","20","England","Female","1865","345","0.185"
"2022","England","20","England","Female","1815","295","0.164"
"2023","England","20","England","Female","1485","360","0.242"
"2019","Northern Ireland","20","England","Female","5","0"," "
"2021","Northern Ireland","20","England","Female","5","0"," "
"2022","Northern Ireland","20","England","Female","5","0"," "
"2019","Scotland","20","England","Female","10","0"," "
"2020","Scotland","20","England","Female","10","0"," "
"2021","Scotland","20","England","Female","10","0"," "
"2022","Scotland","20","England","Female","15","0"," "
"2023","Scotland","20","England","Female","10","0"," "
"2019","Wales","20","England","Female","70","5"," "
"2020","Wales","20","England","Female","40","0"," "
"2021","Wales","20","England","Female","75","0"," "
"2022","Wales","20","England","Female","55","0"," "
"2023","Wales","20","England","Female","35","5"," "
"2019","England","21 - 24","England","Female","3610","910","0.252"
"2020","England","21 - 24","England","Female","3500","995","0.28400000000000003"
"2021","England","21 - 24","England","Female","4565","1150","0.252"
"2022","England","21 - 24","England","Female","3780","765","0.202"
"2023","England","21 - 24","England","Female","2710","665","0.245"
"2019","Northern Ireland","21 - 24","England","Female","5","0"," "
"2020","Northern Ireland","21 - 24","England","Female","5","0"," "
"2021","Northern Ireland","21 - 24","England","Female","5","0"," "
"2022","Northern Ireland","21 - 24","England","Female","5","0"," "
"2023","Northern Ireland","21 - 24","England","Female","5","0"," "
"2019","Scotland","21 - 24","England","Female","30","5"," "
"2020","Scotland","21 - 24","England","Female","25","0"," "
"2021","Scotland","21 - 24","England","Female","30","0"," "
"2022","Scotland","21 - 24","England","Female","15","0"," "
"2023","Scotland","21 - 24","England","Female","10","0"," "
"2019","Wales","21 - 24","England","Female","110","10","0.1"
"2020","Wales","21 - 24","England","Female","105","5"," "
"2021","Wales","21 - 24","England","Female","120","10"," "
"2022","Wales","21 - 24","England","Female","85","0"," "
"2023","Wales","21 - 24","England","Female","60","5"," "
"2019","England","25 - 29","England","Female","3075","855","0.277"
"2020","England","25 - 29","England","Female","3005","965","0.321"
"2021","England","25 - 29","England","Female","4195","1170","0.279"
"2022","England","25 - 29","England","Female","3470","935","0.27"
"2023","England","25 - 29","England","Female","2305","680","0.295"
"2021","Northern Ireland","25 - 29","England","Female","5","0"," "
"2019","Scotland","25 - 29","England","Female","25","0"," "
"2020","Scotland","25 - 29","England","Female","25","5"," "
"2021","Scotland","25 - 29","England","Female","20","0"," "
"2022","Scotland","25 - 29","England","Female","20","5"," "
"2023","Scotland","25 - 29","England","Female","5","0"," "
"2019","Wales","25 - 29","England","Female","65","5"," "
"2020","Wales","25 - 29","England","Female","65","5"," "
"2021","Wales","25 - 29","England","Female","105","10","0.105"
"2022","Wales","25 - 29","England","Female","75","5"," "
"2023","Wales","25 - 29","England","Female","30","5"," "
"2019","England","30 - 34","England","Female","1765","515","0.292"
"2020","England","30 - 34","England","Female","2020","655","0.324"
"2021","England","30 - 34","England","Female","3065","940","0.307"
"2022","England","30 - 34","England","Female","2685","810","0.302"
"2023","England","30 - 34","England","Female","1925","610","0.317"
"2019","Scotland","30 - 34","England","Female","5","0"," "
"2020","Scotland","30 - 34","England","Female","10","0"," "
"2021","Scotland","30 - 34","England","Female","5","0"," "
"2022","Scotland","30 - 34","England","Female","10","0"," "
"2019","Wales","30 - 34","England","Female","35","0"," "
"2020","Wales","30 - 34","England","Female","25","0"," "
"2021","Wales","30 - 34","England","Female","55","5"," "
"2022","Wales","30 - 34","England","Female","45","5"," "
"2023","Wales","30 - 34","England","Female","15","5"," "
"2019","England","35 and over","England","Female","1905","525","0.276"
"2020","England","35 and over","England","Female","2205","695","0.316"
"2021","England","35 and over","England","Female","3100","865","0.279"
"2022","England","35 and over","England","Female","2735","795","0.291"
"2023","England","35 and over","England","Female","2370","785","0.331"
"2019","Scotland","35 and over","England","Female","5","0"," "
"2020","Scotland","35 and over","England","Female","5","0"," "
"2021","Scotland","35 and over","England","Female","10","0"," "
"2023","Scotland","35 and over","England","Female","5","0"," "
"2019","Wales","35 and over","England","Female","15","0"," "
"2020","Wales","35 and over","England","Female","30","0"," "
"2021","Wales","35 and over","England","Female","40","5"," "
"2022","Wales","35 and over","England","Female","25","5"," "
"2023","Wales","35 and over","England","Female","25","0"," "
"2019","Scotland","17 and under","Scotland","Female","15","0"," "
"2020","Scotland","17 and under","Scotland","Female","30","5"," "
"2021","Scotland","17 and under","Scotland","Female","35","5"," "
"2022","Scotland","17 and under","Scotland","Female","50","5"," "
"2023","Scotland","17 and under","Scotland","Female","20","5"," "
"2019","England","18","Scotland","Female","20","5"," "
"2020","England","18","Scotland","Female","15","5"," "
"2021","England","18","Scotland","Female","25","0"," "
"2022","England","18","Scotland","Female","25","5"," "
"2023","England","18","Scotland","Female","10","5"," "
"2021","Northern Ireland","18","Scotland","Female","5","0"," "
"2022","Northern Ireland","18","Scotland","Female","5","0"," "
"2019","Scotland","18","Scotland","Female","645","130","0.198"
"2020","Scotland","18","Scotland","Female","530","120","0.223"
"2021","Scotland","18","Scotland","Female","750","90","0.123"
"2022","Scotland","18","Scotland","Female","630","95","0.148"
"2023","Scotland","18","Scotland","Female","440","95","0.216"
"2019","England","19","Scotland","Female","10","0"," "
"2021","England","19","Scotland","Female","15","0"," "
"2022","England","19","Scotland","Female","5","0"," "
"2023","England","19","Scotland","Female","10","5"," "
"2019","Scotland","19","Scotland","Female","190","35","0.179"
"2020","Scotland","19","Scotland","Female","170","35","0.218"
"2021","Scotland","19","Scotland","Female","220","20","0.091"
"2022","Scotland","19","Scotland","Female","205","25","0.132"
"2023","Scotland","19","Scotland","Female","195","45","0.241"
"2019","England","20","Scotland","Female","5","0"," "
"2021","England","20","Scotland","Female","10","0"," "
"2023","England","20","Scotland","Female","5","0"," "
"2019","Scotland","20","Scotland","Female","105","15","0.152"
"2020","Scotland","20","Scotland","Female","100","15","0.15"
"2021","Scotland","20","Scotland","Female","130","15","0.1"
"2022","Scotland","20","Scotland","Female","140","25","0.193"
"2023","Scotland","20","Scotland","Female","80","15","0.17500000000000002"
"2019","England","21 - 24","Scotland","Female","35","15","0.4"
"2020","England","21 - 24","Scotland","Female","20","5"," "
"2021","England","21 - 24","Scotland","Female","35","5"," "
"2022","England","21 - 24","Scotland","Female","25","0"," "
"2023","England","21 - 24","Scotland","Female","5","0"," "
"2021","Northern Ireland","21 - 24","Scotland","Female","5","0"," "
"2022","Northern Ireland","21 - 24","Scotland","Female","5","0"," "
"2019","Scotland","21 - 24","Scotland","Female","265","40","0.158"
"2020","Scotland","21 - 24","Scotland","Female","360","65","0.186"
"2021","Scotland","21 - 24","Scotland","Female","365","60","0.159"
"2022","Scotland","21 - 24","Scotland","Female","345","60","0.168"
"2023","Scotland","21 - 24","Scotland","Female","235","55","0.234"
"2021","Wales","21 - 24","Scotland","Female","5","0"," "
"2022","Wales","21 - 24","Scotland","Female","5","0"," "
"2019","England","25 - 29","Scotland","Female","10","0"," "
"2020","England","25 - 29","Scotland","Female","15","5"," "
"2021","England","25 - 29","Scotland","Female","30","10","0.367"
"2022","England","25 - 29","Scotland","Female","15","5"," "
"2023","England","25 - 29","Scotland","Female","10","5"," "
"2019","Scotland","25 - 29","Scotland","Female","255","50","0.196"
"2020","Scotland","25 - 29","Scotland","Female","345","60","0.171"
"2021","Scotland","25 - 29","Scotland","Female","505","75","0.15"
"2022","Scotland","25 - 29","Scotland","Female","305","55","0.177"
"2023","Scotland","25 - 29","Scotland","Female","190","40","0.221"
"2019","England","30 - 34","Scotland","Female","5","0"," "
"2020","England","30 - 34","Scotland","Female","5","0"," "
"2021","England","30 - 34","Scotland","Female","15","5"," "
"2022","England","30 - 34","Scotland","Female","5","0"," "
"2023","England","30 - 34","Scotland","Female","10","5"," "
"2019","Scotland","30 - 34","Scotland","Female","165","40","0.23"
"2020","Scotland","30 - 34","Scotland","Female","210","40","0.195"
"2021","Scotland","30 - 34","Scotland","Female","265","45","0.162"
"2022","Scotland","30 - 34","Scotland","Female","215","35","0.17200000000000001"
"2023","Scotland","30 - 34","Scotland","Female","150","40","0.273"
"2020","England","35 and over","Scotland","Female","5","0"," "
"2021","England","35 and over","Scotland","Female","5","0"," "
"2022","England","35 and over","Scotland","Female","5","0"," "
"2023","England","35 and over","Scotland","Female","5","0"," "
"2019","Scotland","35 and over","Scotland","Female","185","40","0.216"
"2020","Scotland","35 and over","Scotland","Female","210","50","0.229"
"2021","Scotland","35 and over","Scotland","Female","305","35","0.108"
"2022","Scotland","35 and over","Scotland","Female","250","45","0.176"
"2023","Scotland","35 and over","Scotland","Female","180","50","0.267"
"2020","Wales","17 and under","Wales","Female","5","0"," "
"2019","England","18","Wales","Female","160","30","0.17500000000000002"
"2020","England","18","Wales","Female","215","60","0.27"
"2021","England","18","Wales","Female","340","70","0.2"
"2022","England","18","Wales","Female","320","70","0.219"
"2023","England","18","Wales","Female","245","55","0.233"
"2020","Scotland","18","Wales","Female","5","0"," "
"2021","Scotland","18","Wales","Female","5","0"," "
"2022","Scotland","18","Wales","Female","5","0"," "
"2019","Wales","18","Wales","Female","200","10","0.06"
"2020","Wales","18","Wales","Female","280","15","0.054"
"2021","Wales","18","Wales","Female","425","40","0.099"
"2022","Wales","18","Wales","Female","310","25","0.077"
"2023","Wales","18","Wales","Female","215","35","0.167"
"2019","England","19","Wales","Female","85","15","0.2"
"2020","England","19","Wales","Female","85","15","0.153"
"2021","England","19","Wales","Female","130","20","0.146"
"2022","England","19","Wales","Female","95","20","0.232"
"2023","England","19","Wales","Female","50","10","0.2"
"2021","Scotland","19","Wales","Female","5","0"," "
"2019","Wales","19","Wales","Female","140","10"," "
"2020","Wales","19","Wales","Female","120","10"," "
"2021","Wales","19","Wales","Female","175","5"," "
"2022","Wales","19","Wales","Female","95","15","0.137"
"2023","Wales","19","Wales","Female","70","5"," "
"2019","England","20","Wales","Female","50","10","0.2"
"2020","England","20","Wales","Female","25","5"," "
"2021","England","20","Wales","Female","55","5"," "
"2022","England","20","Wales","Female","55","10","0.2"
"2023","England","20","Wales","Female","45","15","0.289"
"2021","Scotland","20","Wales","Female","5","0"," "
"2019","Wales","20","Wales","Female","65","5"," "
"2020","Wales","20","Wales","Female","60","5"," "
"2021","Wales","20","Wales","Female","95","5"," "
"2022","Wales","20","Wales","Female","75","10"," "
"2023","Wales","20","Wales","Female","55","5"," "
"2019","England","21 - 24","Wales","Female","125","30","0.24"
"2020","England","21 - 24","Wales","Female","95","15","0.168"
"2021","England","21 - 24","Wales","Female","85","15","0.165"
"2022","England","21 - 24","Wales","Female","75","15","0.2"
"2023","England","21 - 24","Wales","Female","45","15","0.311"
"2019","Scotland","21 - 24","Wales","Female","5","0"," "
"2019","Wales","21 - 24","Wales","Female","300","35","0.123"
"2020","Wales","21 - 24","Wales","Female","240","35","0.146"
"2021","Wales","21 - 24","Wales","Female","275","30","0.105"
"2022","Wales","21 - 24","Wales","Female","150","25","0.17300000000000001"
"2023","Wales","21 - 24","Wales","Female","140","30","0.2"
"2019","England","25 - 29","Wales","Female","70","10","0.157"
"2020","England","25 - 29","Wales","Female","60","10","0.183"
"2021","England","25 - 29","Wales","Female","105","20","0.19"
"2022","England","25 - 29","Wales","Female","75","15","0.227"
"2023","England","25 - 29","Wales","Female","50","15","0.28"
"2019","Wales","25 - 29","Wales","Female","215","20","0.10200000000000001"
"2020","Wales","25 - 29","Wales","Female","205","45","0.229"
"2021","Wales","25 - 29","Wales","Female","330","40","0.127"
"2022","Wales","25 - 29","Wales","Female","200","35","0.18"
"2023","Wales","25 - 29","Wales","Female","160","45","0.281"
"2019","England","30 - 34","Wales","Female","40","5"," "
"2020","England","30 - 34","Wales","Female","60","15","0.217"
"2021","England","30 - 34","Wales","Female","50","10"," "
"2022","England","30 - 34","Wales","Female","50","15","0.26"
"2023","England","30 - 34","Wales","Female","40","10","0.275"
"2019","Wales","30 - 34","Wales","Female","155","25","0.148"
"2020","Wales","30 - 34","Wales","Female","170","30","0.182"
"2021","Wales","30 - 34","Wales","Female","190","30","0.153"
"2022","Wales","30 - 34","Wales","Female","170","30","0.182"
"2023","Wales","30 - 34","Wales","Female","140","40","0.293"
"2019","England","35 and over","Wales","Female","35","10"," "
"2020","England","35 and over","Wales","Female","25","10"," "
"2021","England","35 and over","Wales","Female","40","5"," "
"2022","England","35 and over","Wales","Female","40","10","0.25"
"2023","England","35 and over","Wales","Female","15","0"," "
"2019","Wales","35 and over","Wales","Female","105","15","0.152"
"2020","Wales","35 and over","Wales","Female","115","20","0.191"
"2021","Wales","35 and over","Wales","Female","145","20","0.152"
"2022","Wales","35 and over","Wales","Female","115","30","0.278"
"2023","Wales","35 and over","Wales","Female","105","40","0.362"
"2019","England","17 and under","Not EU","Female","5","0"," "
"2020","England","17 and under","Not EU","Female","5","0"," "
"2021","England","17 and under","Not EU","Female","10","0"," "
"2022","England","17 and under","Not EU","Female","5","0"," "
"2023","England","17 and under","Not EU","Female","5","5"," "
"2019","England","18","Not EU","Female","50","10"," "
"2020","England","18","Not EU","Female","50","10","0.2"
"2021","England","18","Not EU","Female","45","5"," "
"2022","England","18","Not EU","Female","75","5"," "
"2023","England","18","Not EU","Female","50","15","0.26"
"2022","Northern Ireland","18","Not EU","Female","5","0"," "
"2019","Scotland","18","Not EU","Female","5","0"," "
"2020","Scotland","18","Not EU","Female","5","0"," "
"2023","Scotland","18","Not EU","Female","5","0"," "
"2022","Wales","18","Not EU","Female","5","0"," "
"2019","England","19","Not EU","Female","25","0"," "
"2020","England","19","Not EU","Female","20","0"," "
"2021","England","19","Not EU","Female","40","5"," "
"2022","England","19","Not EU","Female","40","5"," "
"2023","England","19","Not EU","Female","20","0"," "
"2019","Scotland","19","Not EU","Female","5","0"," "
"2019","Wales","19","Not EU","Female","5","0"," "
"2020","Wales","19","Not EU","Female","5","0"," "
"2021","Wales","19","Not EU","Female","5","0"," "
"2019","England","20","Not EU","Female","15","0"," "
"2020","England","20","Not EU","Female","5","0"," "
"2021","England","20","Not EU","Female","10","0"," "
"2022","England","20","Not EU","Female","20","0"," "
"2023","England","20","Not EU","Female","25","0"," "
"2023","Wales","20","Not EU","Female","5","0"," "
"2019","England","21 - 24","Not EU","Female","50","5"," "
"2020","England","21 - 24","Not EU","Female","25","0"," "
"2021","England","21 - 24","Not EU","Female","90","5"," "
"2022","England","21 - 24","Not EU","Female","70","10","0.14300000000000002"
"2023","England","21 - 24","Not EU","Female","60","10","0.2"
"2021","Northern Ireland","21 - 24","Not EU","Female","5","0"," "
"2019","Scotland","21 - 24","Not EU","Female","5","0"," "
"2020","Scotland","21 - 24","Not EU","Female","5","0"," "
"2022","Scotland","21 - 24","Not EU","Female","5","0"," "
"2023","Scotland","21 - 24","Not EU","Female","5","0"," "
"2019","England","25 - 29","Not EU","Female","50","15","0.3"
"2020","England","25 - 29","Not EU","Female","65","5"," "
"2021","England","25 - 29","Not EU","Female","55","5"," "
"2022","England","25 - 29","Not EU","Female","75","10"," "
"2023","England","25 - 29","Not EU","Female","55","15","0.23600000000000002"
"2023","Northern Ireland","25 - 29","Not EU","Female","5","0"," "
"2019","Scotland","25 - 29","Not EU","Female","5","0"," "
"2020","Scotland","25 - 29","Not EU","Female","5","0"," "
"2022","Scotland","25 - 29","Not EU","Female","5","0"," "
"2023","Scotland","25 - 29","Not EU","Female","5","0"," "
"2021","Wales","25 - 29","Not EU","Female","5","0"," "
"2019","England","30 - 34","Not EU","Female","15","0"," "
"2020","England","30 - 34","Not EU","Female","15","0"," "
"2021","England","30 - 34","Not EU","Female","35","10","0.28600000000000003"
"2022","England","30 - 34","Not EU","Female","45","0"," "
"2023","England","30 - 34","Not EU","Female","40","5"," "
"2020","Scotland","30 - 34","Not EU","Female","5","0"," "
"2021","Scotland","30 - 34","Not EU","Female","5","0"," "
"2023","Wales","30 - 34","Not EU","Female","5","0"," "
"2019","England","35 and over","Not EU","Female","10","0"," "
"2020","England","35 and over","Not EU","Female","15","0"," "
"2021","England","35 and over","Not EU","Female","35","5"," "
"2022","England","35 and over","Not EU","Female","40","5"," "
"2023","England","35 and over","Not EU","Female","30","10"," "
"2019","Scotland","35 and over","Not EU","Female","5","0"," "
"2021","Scotland","35 and over","Not EU","Female","5","0"," "
"2023","Wales","35 and over","Not EU","Female","5","0"," "
"2019","England","17 and under","EU (excluding UK)","Female","40","0"," "
"2020","England","17 and under","EU (excluding UK)","Female","25","0"," "
"2021","England","17 and under","EU (excluding UK)","Female","15","0"," "
"2022","England","17 and under","EU (excluding UK)","Female","10","0"," "
"2023","England","17 and under","EU (excluding UK)","Female","10","0"," "
"2020","Northern Ireland","17 and under","EU (excluding UK)","Female","5","0"," "
"2021","Northern Ireland","17 and under","EU (excluding UK)","Female","5","0"," "
"2022","Northern Ireland","17 and under","EU (excluding UK)","Female","5","0"," "
"2023","Northern Ireland","17 and under","EU (excluding UK)","Female","10","0"," "
"2019","Scotland","17 and under","EU (excluding UK)","Female","15","0"," "
"2020","Scotland","17 and under","EU (excluding UK)","Female","5","0"," "
"2021","Scotland","17 and under","EU (excluding UK)","Female","5","0"," "
"2022","Scotland","17 and under","EU (excluding UK)","Female","5","0"," "
"2019","England","18","EU (excluding UK)","Female","50","0"," "
"2020","England","18","EU (excluding UK)","Female","110","20","0.182"
"2021","England","18","EU (excluding UK)","Female","80","5"," "
"2022","England","18","EU (excluding UK)","Female","100","5"," "
"2023","England","18","EU (excluding UK)","Female","45","5"," "
"2019","Northern Ireland","18","EU (excluding UK)","Female","10","0"," "
"2020","Northern Ireland","18","EU (excluding UK)","Female","20","5"," "
"2021","Northern Ireland","18","EU (excluding UK)","Female","20","0"," "
"2022","Northern Ireland","18","EU (excluding UK)","Female","45","0"," "
"2023","Northern Ireland","18","EU (excluding UK)","Female","40","10","0.275"
"2019","Scotland","18","EU (excluding UK)","Female","35","5"," "
"2020","Scotland","18","EU (excluding UK)","Female","45","0"," "
"2021","Scotland","18","EU (excluding UK)","Female","35","5"," "
"2022","Scotland","18","EU (excluding UK)","Female","25","0"," "
"2023","Scotland","18","EU (excluding UK)","Female","15","0"," "
"2019","Wales","18","EU (excluding UK)","Female","15","0"," "
"2020","Wales","18","EU (excluding UK)","Female","10","0"," "
"2021","Wales","18","EU (excluding UK)","Female","10","0"," "
"2022","Wales","18","EU (excluding UK)","Female","15","0"," "
"2023","Wales","18","EU (excluding UK)","Female","5","0"," "
"2019","England","19","EU (excluding UK)","Female","55","5"," "
"2020","England","19","EU (excluding UK)","Female","70","5"," "
"2021","England","19","EU (excluding UK)","Female","70","5"," "
"2022","England","19","EU (excluding UK)","Female","60","5"," "
"2023","England","19","EU (excluding UK)","Female","50","5"," "
"2019","Northern Ireland","19","EU (excluding UK)","Female","10","0"," "
"2021","Northern Ireland","19","EU (excluding UK)","Female","20","0"," "
"2022","Northern Ireland","19","EU (excluding UK)","Female","20","0"," "
"2023","Northern Ireland","19","EU (excluding UK)","Female","25","0"," "
